EX_RL,RL,EX_RT,RT,nu_RL,nu_RT,q,Q2
14.01656,12.052475999999999,14.023000000000001,2.07,0.01498629568356158,0.01499272705919452,0.148,0.02
14.02284,12.803112,14.16,2.3148,0.01499256727350939,0.01512954271503197,0.148,0.02
14.19604,13.56714,14.328999999999999,2.448,0.01516553394257691,0.01529831300854845,0.148,0.02
14.39011,14.283612,14.48,3.5063999999999997,0.01535933932079203,0.01544910561530166,0.148,0.02
14.40823,15.152724,14.61,5.5691999999999995,0.01537743444220752,0.01557892543756623,0.148,0.02
14.57638,14.879916,14.731,7.5203999999999995,0.0155453521786395,0.015699756380819,0.148,0.02
14.641950000000001,15.70032,14.83,9.4788,0.01561083092493476,0.01579861709151942,0.148,0.02
14.80989,16.232796,14.914,11.4192,0.015778535456203,0.01588249822196452,0.148,0.02
14.82592,17.406576,15.006,13.518,0.01579454284917681,0.01597436731029944,0.148,0.02
14.91595,18.840024,15.112,15.264,0.01588444545502732,0.01608021554249994,0.148,0.02
14.98053,20.152728000000003,15.234,17.2476,0.01594893362838334,0.01620203962747802,0.148,0.02
15.02206,21.293388,15.370999999999999,19.241999999999997,0.01599040438038024,0.01633884050326628,0.148,0.02
15.11504,22.583736000000002,15.524,17.5896,0.01608325117515008,0.01649161614764871,0.148,0.02
15.205710000000002,23.898923999999997,15.568999999999999,14.8968,0.016173790537648,0.01653654976390762,0.148,0.02
15.22634,25.126416,15.628,11.851199999999999,0.01619439071164308,0.01659546245419286,0.148,0.02
15.40376,25.335036,15.768999999999998,10.097999999999999,0.01637155264019263,0.01673625254297839,0.148,0.02
15.41389,26.158392,15.931000000000001,10.2852,0.01638166782069383,0.01689800918257589,0.148,0.02
15.587,24.769296,16.062,11.0124,0.01655452315990935,0.01702881068199957,0.148,0.02
15.59093,25.700724,16.232,11.8044,0.01655844734753309,0.01719855080739663,0.148,0.02
15.65585,27.180864,16.399,11.2788,0.01662327113333539,0.01736529301299861,0.148,0.02
15.691730000000002,28.676555999999998,16.569,10.0764,0.0166590977965928,0.01753502803684626,0.148,0.02
15.74718,30.5055,16.641,8.8812,0.01671446514291475,0.01760691503591616,0.148,0.02
15.778830000000001,31.959216000000012,16.795,7.8516,0.01674606784271759,0.01776067179001473,0.148,0.02
15.83073,33.430248000000006,16.962999999999997,7.430400000000001,0.01679789008626997,0.01792840402259799,0.148,0.02
15.857750000000001,34.957296,17.131,7.9308,0.01682486951001927,0.01809613374233265,0.148,0.02
15.88128,36.306864000000004,17.298000000000002,9.3924,0.01684836412177582,0.01826286258053322,0.148,0.02
15.91942,37.620611999999994,17.465999999999998,10.8468,0.01688644665590289,0.01843058728986158,0.148,0.02
15.95879,38.937167999999986,17.633,12.232800000000001,0.01692575720089451,0.01859731114770469,0.148,0.02
15.991140000000001,40.224204,17.807,12.7332,0.01695805824389929,0.01877102078987747,0.148,0.02
16.02083,41.63868,17.968,13.518,0.01698770323040755,0.01893174972501122,0.148,0.02
16.213,40.559472,18.136,14.3424,0.01717957997994901,0.01909946441488053,0.148,0.02
16.256449999999997,37.29456,18.299,14.9868,0.01722296321962524,0.01926218519509426,0.148,0.02
16.25708,37.938492,18.471,14.9616,0.01722359225040293,0.01943388799415935,0.148,0.02
16.25819,39.077748,18.646,13.2984,0.01722470054263781,0.01960858290733469,0.148,0.02
