E0,ThetaDeg,nu,A,Z,CS_qe,CS_mec,CS_inel,cross,,
0.1999,145,3.49E-02,12,6,1762.864108,41.36302013,0,1804.227128,,
0.1999,145,3.99E-02,12,6,2206.692128,58.17621485,0,2264.868343,,
0.1999,145,4.49E-02,12,6,2600.287917,75.88635392,0,2676.174271,,
0.1999,145,4.99E-02,12,6,2920.567617,94.44029681,0,3015.007913,,
0.1999,145,5.49E-02,12,6,3151.554543,113.7693384,0,3265.323882,,
0.1999,145,5.99E-02,12,6,3285.988109,133.7885688,0,3419.776677,,
0.1999,145,6.49E-02,12,6,3324.769952,154.3965535,0,3479.166505,,
0.1999,145,6.99E-02,12,6,3275.030281,175.4753734,0,3450.505654,,
0.1999,145,7.49E-02,12,6,3147.829815,196.8910603,0,3344.720875,,
0.1999,145,7.99E-02,12,6,2956.241147,218.4944628,0,3174.735609,,
0.1999,145,8.49E-02,12,6,2714.106016,240.1225796,0,2954.228596,,
0.1999,145,8.99E-02,12,6,2435.403095,261.6005896,0,2697.003685,,
0.1999,145,9.49E-02,12,6,2133.9778,298.9568419,0,2432.934642,,
0.1999,145,9.99E-02,12,6,1823.357598,320.4351359,0,2143.792734,,
0.2,36,1.75E-02,12,6,996737.9418,1678.960879,0,998416.9027,,
0.2,36,2.25E-02,12,6,908990.2152,2892.852533,0,911883.0678,,
0.2,36,2.75E-02,12,6,719710.3556,4095.425319,0,723805.781,,
0.2,36,3.25E-02,12,6,523761.651,5284.479041,0,529046.13,,
0.2,36,3.75E-02,12,6,385497.5576,6451.094851,0,391948.6525,,
0.2,36,4.25E-02,12,6,285763.9736,7580.365217,0,293344.3388,,
0.2,36,4.75E-02,12,6,209667.4163,8656.028424,0,218323.4447,,
0.2,60,7.50E-03,12,6,42393.02621,0,0,42393.02621,,
0.2,60,1.25E-02,12,6,67228.02241,0,0,67228.02241,,
0.2,60,1.75E-02,12,6,85266.03945,0,0,85266.03945,,
0.2,60,2.25E-02,12,6,94855.19474,0,0,94855.19474,,
0.2,60,2.75E-02,12,6,96226.16308,0,0,96226.16308,,
0.2,60,3.25E-02,12,6,90997.16737,0.236261064,0,90997.40363,,
0.2,60,3.75E-02,12,6,84558.59967,0.722417319,0,84559.32209,,
0.2,60,4.25E-02,12,6,76311.45204,1272.121721,0,77583.57376,,
0.2,60,4.75E-02,12,6,66874.71088,1457.062446,0,68331.77333,,
0.2,60,5.25E-02,12,6,56964.32419,1628.881424,0,58593.20562,,
0.2,60,5.75E-02,12,6,46986.86597,1786.918714,0,48773.78469,,
0.2,60,6.25E-02,12,6,37344.96101,1930.673389,0,39275.6344,,
0.2,60,6.75E-02,12,6,28508.61426,2059.778463,0,30568.39272,,
0.24,36,1.25E-02,12,6,524954.2114,0,0,524954.2114,,
0.24,36,1.75E-02,12,6,617401.75,0,0,617401.75,,
0.24,36,2.25E-02,12,6,620210.5705,0,0,620210.5705,,
0.24,36,2.75E-02,12,6,554163.1596,0,0,554163.1596,,
0.24,36,3.25E-02,12,6,456497.5219,3825.06339,0,460322.5853,,
0.24,36,3.75E-02,12,6,372799.0642,4634.701291,0,377433.7655,,
0.24,36,4.25E-02,12,6,300810.4933,5390.627512,0,306201.1208,,
0.24,36,4.75E-02,12,6,238671.7377,6089.315719,0,244761.0535,,
0.24,36,5.25E-02,12,6,184358.5158,6726.320204,0,191084.836,,
0.24,36,5.75E-02,12,6,136335.6764,7296.594103,0,143632.2705,,
0.24,36,6.25E-02,12,6,95477.59323,7794.878379,0,103272.4716,,
0.2404,60,2.90E-03,12,6,4404.855003,0,0,4404.855003,,
0.2404,60,7.90E-03,12,6,19039.09982,0,0,19039.09982,,
0.2404,60,1.29E-02,12,6,32637.17103,0,0,32637.17103,,
0.2404,60,1.79E-02,12,6,43925.13918,0,0,43925.13918,,
0.2404,60,2.29E-02,12,6,52011.07047,0,0,52011.07047,,
0.2404,60,2.79E-02,12,6,56533.73521,0,0,56533.73521,,
0.2404,60,3.29E-02,12,6,57702.21597,0.194226061,0,57702.4102,,
0.2404,60,3.79E-02,12,6,58235.24906,0.542442608,0,58235.7915,,
0.2404,60,4.29E-02,12,6,56899.01114,0.902873467,0,56899.91402,,
0.2404,60,4.79E-02,12,6,53883.63932,1.275643309,0,53884.91497,,
0.2404,60,5.29E-02,12,6,49636.34547,1047.422178,0,50683.76765,,
0.2404,60,5.79E-02,12,6,44521.94427,1165.799721,0,45687.74399,,
0.2404,60,6.29E-02,12,6,38879.39459,1280.03296,0,40159.42755,,
0.2404,60,6.79E-02,12,6,33049.16864,1389.459815,0,34438.62846,,
0.2404,60,7.29E-02,12,6,27348.67344,1493.50121,0,28842.17465,,
0.2404,60,7.79E-02,12,6,22033.95139,1591.671621,0,23625.62302,,
0.2404,60,8.29E-02,12,6,17281.72389,1683.58689,0,18965.31078,,
0.2404,60,8.79E-02,12,6,13191.83456,1768.969614,0,14960.80417,,
0.2404,60,9.29E-02,12,6,9797.952624,1847.652433,0,11645.60506,,
0.2404,60,9.79E-02,12,6,7080.134124,1919.579577,0,8999.7137,,
0.2404,60,0.1029,12,6,4978.357195,1984.806979,0,6963.164174,,
0.2404,60,0.1079,12,6,3407.023972,2043.501227,0,5450.5252,,
0.2411,90,3.60E-03,12,6,0,0,0,0,,
0.2411,90,8.60E-03,12,6,468.5430657,0,0,468.5430657,,
0.2411,90,1.36E-02,12,6,1690.469625,0,0,1690.469625,,
