A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.037551316,0.25,40,191900,5757,16
12,6,0.037751316,0.25,40,193900,5817,16
12,6,0.037971316,0.25,40,195700,5871,16
12,6,0.038181316,0.25,40,195800,5874,16
12,6,0.038381316,0.25,40,195000,5850,16
12,6,0.038581316,0.25,40,188500,5655,16
12,6,0.038791316,0.25,40,188300,5649,16
12,6,0.039001316,0.25,40,185600,5568,16
12,6,0.039201316,0.25,40,194500,5835,16
12,6,0.039381316,0.25,40,196100,5883,16
12,6,0.039591316,0.25,40,203000,6090,16
12,6,0.039811316,0.25,40,198200,5946,16
12,6,0.040021316,0.25,40,200000,6000,16
12,6,0.040231316,0.25,40,193400,5802,16
12,6,0.040411316,0.25,40,190000,5700,16
12,6,0.040631316,0.25,40,185300,5559,16
12,6,0.040831316,0.25,40,183600,5508,16
12,6,0.041051316,0.25,40,184500,5535,16
12,6,0.041291316,0.25,40,181900,5457,16
12,6,0.041481316,0.25,40,182700,5481,16
12,6,0.041711316,0.25,40,182700,5481,16
12,6,0.041891316,0.25,40,182100,5463,16
12,6,0.042111316,0.25,40,181800,5454,16
12,6,0.042311316,0.25,40,181300,5439,16
12,6,0.042521316,0.25,40,182300,5469,16
12,6,0.042812316,0.25,40,170120,5103.6,16
12,6,0.043292316,0.25,40,168290,5048.7,16
12,6,0.043772316,0.25,40,167570,5027.1,16
12,6,0.044252316,0.25,40,165260,4957.8,16
12,6,0.044732316,0.25,40,161400,4842,16
12,6,0.045212316,0.25,40,162200,4866,16
12,6,0.045692316,0.25,40,159560,4786.8,16
12,6,0.046172316,0.25,40,160000,4800,16
12,6,0.046652316,0.25,40,148000,4440,16
12,6,0.047132316,0.25,40,152170,4565.1,16
12,6,0.047612316,0.25,40,154680,4640.4,16
12,6,0.048092316,0.25,40,152980,4589.4,16
12,6,0.048572316,0.25,40,147090,4412.7,16
12,6,0.049052316,0.25,40,139020,4170.6,16
12,6,0.049532316,0.25,40,133760,4012.8,16
12,6,0.050012316,0.25,40,134940,4048.2,16
12,6,0.050493316,0.25,40,129330,3879.9,16
12,6,0.050973316,0.25,40,128520,3855.6,16
12,6,0.051453316,0.25,40,130120,3903.6,16
12,6,0.051933316,0.25,40,134340,4030.2,16
12,6,0.052413316,0.25,40,128770,3863.1,16
12,6,0.052893316,0.25,40,125150,3754.5,16
12,6,0.053373316,0.25,40,113940,3418.2,16
12,6,0.053853316,0.25,40,117640,3529.2,16
12,6,0.054333316,0.25,40,112480,3374.4,16
12,6,0.054813316,0.25,40,108880,3266.4,16
12,6,0.055293316,0.25,40,113210,3396.3,16
12,6,0.055773316,0.25,40,106930,3207.9,16
12,6,0.056253316,0.25,40,103740,3112.2,16
12,6,0.056733316,0.25,40,104770,3143.1,16
12,6,0.057213316,0.25,40,102810,3084.3,16
12,6,0.057693316,0.25,40,99370,2981.1,16
12,6,0.058174316,0.25,40,96550,2896.5,16
12,6,0.058654316,0.25,40,95450,2863.5,16
12,6,0.059134316,0.25,40,97620,2928.6,16
12,6,0.059614316,0.25,40,92180,2765.4,16
12,6,0.060094316,0.25,40,86720,2601.6,16
12,6,0.060574316,0.25,40,84280,2528.4,16
12,6,0.061054316,0.25,40,86790,2603.7,16
12,6,0.061534316,0.25,40,81250,2437.5,16
12,6,0.062014316,0.25,40,83730,2511.9,16
12,6,0.062494316,0.25,40,79450,2383.5,16
12,6,0.062974316,0.25,40,80330,2409.9,16
12,6,0.063454316,0.25,40,76390,2291.7,16
12,6,0.063934316,0.25,40,77410,2322.3,16
12,6,0.064414316,0.25,40,71780,2153.4,16
12,6,0.064894316,0.25,40,67760,2032.8,16
12,6,0.065374316,0.25,40,67940,2038.2,16
12,6,0.065854316,0.25,40,69650,2089.5,16
12,6,0.066335316,0.25,40,64900,1947,16
12,6,0.066815316,0.25,40,65500,1965,16
12,6,0.067295316,0.25,40,64780,1943.4,16
12,6,0.067775316,0.25,40,63150,1894.5,16
12,6,0.068255316,0.25,40,63040,1891.2,16
12,6,0.068735316,0.25,40,60180,1805.4,16
12,6,0.069215316,0.25,40,60560,1816.8,16
12,6,0.069695316,0.25,40,57070,1712.1,16
12,6,0.070175316,0.25,40,57600,1728,16
12,6,0.070655316,0.25,40,54010,1620.3,16
12,6,0.071135316,0.25,40,55000,1650,16
12,6,0.071615316,0.25,40,53880,1616.4,16
12,6,0.072095316,0.25,40,53290,1598.7,16
12,6,0.072575316,0.25,40,51750,1552.5,16
12,6,0.073055316,0.25,40,51570,1547.1,16
12,6,0.073535316,0.25,40,49970,1499.1,16
12,6,0.074016316,0.25,40,51130,1533.9,16
12,6,0.074496316,0.25,40,49020,1470.6,16
12,6,0.074976316,0.25,40,49020,1470.6,16
12,6,0.075456316,0.25,40,46630,1398.9,16
12,6,0.075936316,0.25,40,48210,1446.3,16
12,6,0.076416316,0.25,40,48910,1467.3,16
12,6,0.076896316,0.25,40,46470,1394.1,16
12,6,0.077376316,0.25,40,44510,1335.3,16
12,6,0.077856316,0.25,40,45590,1367.7,16
12,6,0.078336316,0.25,40,40910,1227.3,16
12,6,0.078816316,0.25,40,43290,1298.7,16
12,6,0.079296316,0.25,40,46500,1395,16
12,6,0.079776316,0.25,40,41300,1239,16
12,6,0.080256316,0.25,40,38750,1162.5,16
12,6,0.080736316,0.25,40,36760,1102.8,16
12,6,0.081216316,0.25,40,40310,1209.3,16
12,6,0.081697316,0.25,40,42050,1261.5,16
12,6,0.082177316,0.25,40,38510,1155.3,16
12,6,0.082657316,0.25,40,41640,1249.2,16
12,6,0.083137316,0.25,40,36420,1092.6,16
12,6,0.083617316,0.25,40,36740,1102.2,16
12,6,0.084097316,0.25,40,39020,1170.6,16
12,6,0.084577316,0.25,40,38910,1167.3,16
12,6,0.085057316,0.25,40,36140,1084.2,16
12,6,0.085537316,0.25,40,33180,995.4,16
12,6,0.086017316,0.25,40,31710,951.3,16
12,6,0.086497316,0.25,40,31850,955.5,16
12,6,0.086977316,0.25,40,33070,992.1,16
12,6,0.087457316,0.25,40,28240,847.2,16
12,6,0.087937316,0.25,40,32060,961.8,16
12,6,0.088417316,0.25,40,34980,1049.4,16
12,6,0.088897316,0.25,40,31530,945.9,16
12,6,0.089378316,0.25,40,31800,954,16
12,6,0.089858316,0.25,40,32390,971.7,16
12,6,0.090338316,0.25,40,33470,1004.1,16
12,6,0.090818316,0.25,40,32980,989.4,16
12,6,0.091298316,0.25,40,31800,954,16
12,6,0.091778316,0.25,40,30510,915.3,16
12,6,0.092258316,0.25,40,27580,827.4,16
12,6,0.092738316,0.25,40,28640,859.2,16
12,6,0.093218316,0.25,40,30120,903.6,16
12,6,0.093698316,0.25,40,31100,933,16
12,6,0.094178316,0.25,40,27780,833.4,16
12,6,0.094658316,0.25,40,23130,693.9,16
12,6,0.095138316,0.25,40,25570,767.1,16
12,6,0.095618316,0.25,40,28740,862.2,16
12,6,0.096098316,0.25,40,29570,887.1,16
12,6,0.096578316,0.25,40,27350,820.5,16
12,6,0.097059316,0.25,40,30240,907.2,16
12,6,0.097539316,0.25,40,31690,950.7,16
12,6,0.098019316,0.25,40,29840,895.2,16
