A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.0275,0.48,36,60700,3160.852417,1
12,6,0.0275,0.4,36,125700,7133.238255,1
12,6,0.0275,0.32,36,260200,16491.23852,1
12,6,0.0275,0.24,36,462100,42611.07593,1
12,6,0.0275,0.2,36,650100,74076.18316,1
12,6,0.0275,0.16,36,542100,124425.2663,1
12,6,0.0275,0.44,60,2960,114.0785694,1
12,6,0.0275,0.2,60,82410,5499.062622,1
12,6,0.0276,0.2801,90,3320,159.1442113,1
12,6,0.0276,0.2801,145,75,7.466592262,1
12,6,0.0278,0.3203,60,17660,704.8054483,1
12,6,0.0278,0.2803,60,26300,1074.675765,1
12,6,0.0279,0.2404,60,45830,2096.989909,1
12,6,0.028,0.4005,90,50,10.14889156,1
12,6,0.0282,0.3207,90,1520,79.8278147,1
12,6,0.0284,0.3609,60,9240,362.4267098,1
12,6,0.0284,0.1609,60,132800,9533.389114,1
12,6,0.0285,0.401,60,6150,244.5138033,1
12,6,0.0286,0.2411,90,4980,249.3200353,1
12,6,0.0286,0.2411,145,816,54.84548478,1
12,6,0.0299,0.1999,90,11750,660.3597504,1
12,6,0.0299,0.1999,145,1520,85.21431804,1
12,6,0.0301,0.3601,90,590,28.59580389,1
12,6,0.0301,0.3201,145,6,2.010770997,1
12,6,0.0313,0.5188,60,820,41.31440426,1
12,6,0.0322,0.1597,90,23400,1678.681625,1
12,6,0.0322,0.1597,145,3320,197.0453755,1
12,6,0.0323,0.4798,60,1700,66.09084657,1
12,6,0.0325,0.68,36,11500,639.2964883,1
12,6,0.0325,0.62,36,18310,937.2338663,1
12,6,0.0325,0.56,36,35030,1742.131189,1
12,6,0.0325,0.48,36,74870,3809.293934,1
12,6,0.0325,0.4,36,137900,7661.578949,1
12,6,0.0325,0.32,36,227700,14687.71078,1
12,6,0.0325,0.24,36,361500,36326.69404,1
12,6,0.0325,0.2,36,455800,61066.55768,1
12,6,0.0325,0.56,60,320,22.86656949,1
