3.57      1.25       0.764582        0.02835     0.00383684    0.000426315
3.65      1.25       0.812533      0.0320802     0.00394342    0.000532894
3.73      1.25       0.790979      0.0254723     0.00330394    0.000213158
3.81      1.25       0.817298      0.0223816     0.00298421     0.00223816
3.89      1.25       0.854766      0.0246197     0.00287763    0.000426315
3.97      1.25       0.892065      0.0215289     0.00245131    0.000319736
4.05      1.25       0.898459      0.0200368     0.00223816    0.000319736
4.13      1.25       0.941198      0.0206763       0.002025    0.000426315
4.21      1.25       0.950257      0.0206763     0.00213158    0.000426315
4.29      1.25       0.940168      0.0220618       0.002025    0.000319736
4.37      1.25        0.99396      0.0299486     0.00170526    0.000319736
0.85      1.75      0.0884604      0.0136421    0.000639473    0.000426315
0.93      1.75      0.0930433      0.0142816    0.000426315    0.000746052
1.01      1.75       0.102833     0.00991183    0.000639473    0.000319736
1.09      1.75       0.108261     0.00479605    0.000639473              0
1.17      1.75       0.115958     0.00447631    0.000639473              0
1.25      1.75       0.123322     0.00436973    0.000639473              0
1.33      1.75       0.137285     0.00415657    0.000639473    0.000106579
1.41      1.75       0.151964      0.0107645    0.000639473    0.000532894
1.49      1.75       0.162209      0.0143881     0.00138552    0.000426315
1.57      1.75       0.175971      0.0143881      0.0014921    0.000532894
1.65      1.75       0.166902     0.00447631    0.000426315              0
1.73      1.75       0.181504     0.00426315    0.000426315              0
1.81      1.75       0.193014     0.00362368    0.000426315              0
1.89      1.75       0.210658     0.00373026    0.000426315              0
1.97      1.75       0.220548     0.00383684    0.000532894              0
2.05      1.75       0.237556     0.00468947    0.000426315              0
2.13      1.75       0.244705     0.00532894    0.000639473              0
2.21      1.75       0.265204     0.00618157    0.000532894    0.000106579
2.29      1.75       0.278171      0.0070342    0.000319736    0.000213158
2.37      1.75       0.302871     0.00799341    0.000746052              0
2.45      1.75       0.319248      0.0135355     0.00181184    0.000426315
2.53      1.75       0.325279      0.0140684     0.00170526    0.000426315
2.61      1.75       0.389439      0.0176921     0.00170526    0.000426315
2.69      1.75       0.387759      0.0139618     0.00117237    0.000106579
2.77      1.75       0.418535      0.0142816    0.000852631    0.000213158
2.85      1.75       0.423069      0.0139618    0.000959209              0
2.93      1.75       0.441982      0.0123631     0.00106579              0
3.01      1.75       0.461256      0.0124697    0.000959209              0
3.09      1.75       0.480884      0.0127895    0.000852631              0
3.17      1.75       0.500494      0.0127895    0.000852631              0
3.25      1.75       0.501771      0.0138552    0.000959209              0
3.33      1.75       0.507315        0.01215     0.00127895    0.000106579
3.41      1.75       0.535407      0.0123631     0.00138552    0.000106579
3.49      1.75       0.540355      0.0168395     0.00245131    0.000639473
3.57      1.75       0.558234      0.0139618     0.00159868    0.000426315
3.65      1.75       0.559682      0.0140684     0.00170526    0.000319736
3.73      1.75       0.574528      0.0157737     0.00138552    0.000213158
3.81      1.75       0.588682      0.0165197    0.000852631    0.000213158
3.89      1.75       0.587075      0.0158802     0.00138552     0.00127895
3.97      1.75       0.628841      0.0221684    0.000319736    0.000639473
4.05      1.75       0.658836      0.0239802    0.000106579    0.000532894
4.13      1.75       0.695708      0.0260052    0.000106579    0.000532894
4.21      1.75       0.700037      0.0325065              0    0.000213158
4.29      1.75       0.671161      0.0409263    0.000106579              0
0.37      2.25      0.0117237     0.00234473    0.000213158              0
0.45      2.25      0.0147095     0.00298421    0.000213158              0
0.53      2.25      0.0213637     0.00383684    0.000213158              0
0.77      2.25      0.0377289     0.00234473    0.000213158              0
0.85      2.25      0.0439105     0.00127895    0.000213158              0
0.93      2.25      0.0492394     0.00127895    0.000213158              0
1.01      2.25      0.0549446     0.00138552    0.000213158              0
1.09      2.25       0.058392     0.00159868    0.000213158              0
1.17      2.25      0.0654394     0.00170526    0.000213158              0
1.25      2.25      0.0670381     0.00191842    0.000213158              0
1.33      2.25      0.0751611       0.002025    0.000213158              0
1.41      2.25      0.0781884     0.00223816    0.000213158              0
1.49      2.25      0.0857847     0.00287763    0.000213158              0
1.57      2.25      0.0921775     0.00341052    0.000213158              0
1.65      2.25       0.101657     0.00884604    0.000213158              0
1.73      2.25       0.121463     0.00799341    0.000213158              0
1.81      2.25       0.119795     0.00788683    0.000213158              0
1.89      2.25       0.131625     0.00724736    0.000213158              0
1.97      2.25       0.146138     0.00724736    0.000213158              0
2.05      2.25       0.159335     0.00724736    0.000213158              0
2.13      2.25       0.168075     0.00788683    0.000213158              0
2.21      2.25       0.174691     0.00746052    0.000213158              0
2.29      2.25       0.204881     0.00767368    0.000213158              0
2.37      2.25       0.219604     0.00692762    0.000213158              0
2.45      2.25       0.228543     0.00778025    0.000213158              0
2.53      2.25       0.227141     0.00884604    0.000213158              0
2.61      2.25        0.25451     0.00831315    0.000213158              0
2.69      2.25       0.259445      0.0102316    0.000213158              0
2.77      2.25       0.272379     0.00671447    0.000213158              0
2.85      2.25       0.285844     0.00682104    0.000213158              0
2.93      2.25        0.30311     0.00724736    0.000213158              0
3.01      2.25       0.308333     0.00596841    0.000213158              0
3.09      2.25       0.319523      0.0055421    0.000213158              0
3.17      2.25       0.335998     0.00596841    0.000213158              0
3.25      2.25       0.352407     0.00639473    0.000213158              0
3.33      2.25       0.362777     0.00831315    0.000213158              0
3.41      2.25       0.370148     0.00831315    0.000213158              0
3.49      2.25       0.378628     0.00873946    0.000213158              0
3.57      2.25       0.400415      0.0137487    0.000213158              0
3.65      2.25       0.401819      0.0127895    0.000213158              0
3.73      2.25       0.414312      0.0136421    0.000213158              0
3.81      2.25       0.446985      0.0234473    0.000213158              0
3.89      2.25       0.466299      0.0208894    0.000213158              0
4.45      2.25       0.541469      0.0177987    0.000213158              0
4.53      2.25       0.571062      0.0175855    0.000213158              0
4.61      2.25       0.569937      0.0173723    0.000213158              0
4.69      2.25       0.558686      0.0175855    0.000213158              0
4.77      2.25       0.594625      0.0183316    0.000213158              0
4.85      2.25       0.613894      0.0204631    0.000213158              0
0.45      2.75      0.0106579    0.000639473    0.000213158              0
0.53      2.75      0.0126829    0.000639473    0.000213158              0
0.61      2.75      0.0157737    0.000639473    0.000213158              0
0.69      2.75      0.0196276    0.000746052    0.000213158              0
0.77      2.75      0.0231276    0.000852631    0.000213158              0
0.85      2.75      0.0254723     0.00213158    0.000213158              0
0.93      2.75      0.0331262     0.00223816    0.000213158              0
1.01      2.75      0.0326189     0.00223816    0.000213158              0
1.09      2.75      0.0366631     0.00234473    0.000213158              0
1.17      2.75      0.0420986     0.00234473    0.000213158              0
1.25      2.75      0.0465749     0.00255789    0.000213158              0
1.33      2.75      0.0496199     0.00245131    0.000213158              0
1.41      2.75      0.0555491     0.00266447    0.000213158              0
1.49      2.75      0.0603236     0.00287763    0.000213158              0
1.57      2.75      0.0695821     0.00330394    0.000213158              0
1.65      2.75      0.0701118     0.00522236    0.000213158              0
1.73      2.75      0.0754578     0.00575526    0.000213158              0
1.81      2.75      0.0849608     0.00522236    0.000213158              0
1.97      2.75      0.0979459     0.00362368    0.000213158              0
2.05      2.75       0.108924     0.00362368    0.000213158              0
2.13      2.75       0.119155     0.00362368    0.000213158              0
2.21      2.75       0.126083     0.00319736    0.000213158              0
2.29      2.75       0.133863     0.00319736    0.000213158              0
2.53      2.75       0.167116     0.00341052    0.000213158              0
2.61      2.75       0.176472     0.00383684    0.000213158              0
2.69      2.75       0.179094     0.00436973    0.000213158              0
2.77      2.75       0.189284     0.00532894    0.000213158              0
2.85      2.75       0.206301     0.00511578    0.000213158              0
2.93      2.75        0.21202     0.00522236    0.000213158              0
3.01      2.75       0.223841     0.00778025    0.000213158              0
3.09      2.75       0.231724     0.00852631    0.000213158              0
3.17      2.75       0.241938     0.00959209    0.000213158              0
3.25      2.75       0.262823      0.0147079    0.000213158              0
