qv,nu,RT,RTerr,qvcenter,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,bc_qv_nu,RTbc,RTerr_bc,Ex
0.4,0.016542228,0.00403,0.00058,0.38,0.00396,6.56e-08,0.00504,3.06e-08,1,0.00403,0.00058,0.00939755298242995
0.4,0.021959312,0.009655,0.000485,0.38,0.00433,0.00303,0.00536,1.44e-05,1,0.009655,0.000485,0.014823966293411763
0.4,0.027010184,0.0076549999999999,0.0004949999999999,0.38,0.00281,0.0097,0.0021,0.019,1,0.0076549999999999,0.0004949999999999,0.01988590192984943
0.4,0.03208008,0.009205,0.0004349999999999,0.38,0.00524,0.00685,0.00365,0.00554,1,0.009205,0.0004349999999999,0.024969198426051456
0.4,0.036874128,0.0104549999999999,0.0005049999999999,0.38,0.00701,0.00896,0.00508,0.00737,1,0.0104549999999999,0.0005049999999999,0.029778033050803378
0.4,0.041872684,0.0120399999999999,0.00053,0.38,0.00937,0.0113,0.007,0.00946,1,0.0120399999999999,0.00053,0.034794195972864726
0.4,0.046581124,0.013615,0.0008549999999999,0.38,0.0113,0.0135,0.00868,0.0115,1,0.013615,0.0008549999999999,0.039521265398868466
0.4,0.051641508,0.0154,0.00093,0.38,0.0124,0.0158,0.00981,0.0136,1,0.0154,0.00093,0.04460388254591671
0.4,0.056911156,0.017215,0.000825,0.38,0.0128,0.018,0.0103,0.0159,1,0.017215,0.000825,0.04989911805391198
0.4,0.06163862,0.018365,0.000845,0.38,0.013,0.0199,0.0105,0.0177,1,0.018365,0.000845,0.0546516509301979
0.4,0.066737052,0.019205,0.000945,0.38,0.0135,0.0216,0.011,0.0196,1,0.019205,0.000945,0.05977935984172709
0.4,0.072116088,0.01991,0.0008599999999999,0.38,0.0143,0.0232,0.0119,0.0214,1,0.01991,0.0008599999999999,0.06519180504009767
0.4,0.076948184,0.022045,0.000895,0.38,0.0151,0.0243,0.0126,0.0227,1,0.022045,0.000895,0.07005612025965727
0.4,0.081528212,0.023265,0.000895,0.38,0.0157,0.025,0.0133,0.0238,1,0.023265,0.000895,0.07466861499480752
0.4,0.0867122519999999,0.02369,0.0008699999999999,0.38,0.0162,0.0255,0.014,0.0248,1,0.02369,0.0008699999999999,0.07989166757733536
0.4,0.092319576,0.024075,0.000795,0.38,0.0166,0.0257,0.0146,0.0254,1,0.024075,0.000795,0.0855438962770093
0.4,0.097227768,0.024115,0.000895,0.38,0.0167,0.0255,0.0149,0.0257,1,0.024115,0.000895,0.09049370282153614
0.4,0.102407052,0.024445,0.0009449999999999,0.38,0.0166,0.025,0.0152,0.0256,1,0.024445,0.0009449999999999,0.0957192368407287
0.4,0.10703464,0.0243649999999999,0.000655,0.38,0.0164,0.0242,0.0152,0.0253,1,0.0243649999999999,0.000655,0.10039017829665099
0.4,0.11198088,0.023395,0.000755,0.38,0.0161,0.0233,0.0151,0.0247,1,0.023395,0.000755,0.10538487523553294
0.4,0.116979436,0.022885,0.0006449999999999,0.38,0.0156,0.0221,0.0149,0.0239,1,0.022885,0.0006449999999999,0.1104346242468634
0.4,0.122220548,0.0216,0.00072,0.38,0.015,0.0207,0.0146,0.0229,1,0.0216,0.00072,0.11573181398467616
0.4,0.126862404,0.0211599999999999,0.00063,0.38,0.0144,0.0194,0.0141,0.0218,1,0.0211599999999999,0.00063,0.12042538796621308
0.4,0.1325791159999999,0.02044,0.0006199999999999,0.38,0.0136,0.0179,0.0136,0.0204,1,0.02044,0.0006199999999999,0.12620844244477275
0.4,0.13725902,0.018855,0.0010949999999999,0.38,0.0129,0.0166,0.013,0.0191,1,0.018855,0.0010949999999999,0.1309448331406048
0.4,0.142195748,0.018095,0.0009949999999999,0.38,0.0122,0.0153,0.0124,0.0178,1,0.018095,0.0009949999999999,0.13594327129349076
0.4,0.1472180839999999,0.01694,0.0007699999999999,0.38,0.0115,0.0141,0.0118,0.0165,1,0.01694,0.0007699999999999,0.14103062489535823
0.4,0.152387856,0.01569,0.00064,0.38,0.0108,0.013,0.0111,0.0153,1,0.01569,0.00064,0.14626968005869906
0.4,0.157196172,0.014515,0.000615,0.38,0.0101,0.012,0.0106,0.0142,1,0.014515,0.000615,0.15114458121861932
0.4,0.1614765719999999,0.0141599999999999,0.00053,0.38,0.00961,0.0113,0.0101,0.0133,1,0.0141599999999999,0.00053,0.15548599601614194
0.4,0.1671409679999999,0.01295,0.0007299999999999,0.38,0.00895,0.0104,0.00942,0.0123,1,0.01295,0.0007299999999999,0.1612336546695283
0.4,0.172291716,0.0122449999999999,0.000615,0.38,0.0084,0.00985,0.00883,0.0114,1,0.0122449999999999,0.000615,0.1664626068303017
0.4,0.1770572279999999,0.01216,0.00056,0.38,0.00788,0.00936,0.00837,0.0108,1,0.01216,0.00056,0.17130258772387913
0.4,0.182065296,0.01151,0.00072,0.38,0.00742,0.00902,0.00792,0.0103,1,0.01151,0.00072,0.17639110437392946
0.4,0.186987756,0.01106,0.0006399999999999,0.38,0.00701,0.00881,0.00743,0.00983,1,0.01106,0.0006399999999999,0.18139482438852728
0.4,0.193037388,0.01112,0.0002999999999999,0.38,0.00652,0.00868,0.00694,0.00949,1,0.01112,0.0002999999999999,0.18754729286517546
0.4,0.197294008,0.01142,0.0005799999999999,0.38,0.00616,0.00866,0.00667,0.00937,1,0.01142,0.0005799999999999,0.19187823261946252
0.4,0.2024447559999999,0.010685,0.000585,0.38,0.00582,0.00877,0.00624,0.00927,1,0.010685,0.000585,0.19712107910037113
0.4,0.2077714759999999,0.0109649999999999,0.000605,0.38,0.00548,0.009,0.0059,0.00934,1,0.0109649999999999,0.000605,0.2025455405124001
0.4,0.212793812,0.0119049999999999,0.0005349999999999,0.38,0.00521,0.00931,0.00563,0.00951,1,0.0119049999999999,0.0005349999999999,0.20766235764436802
0.4,0.218053948,0.011915,0.0005249999999999,0.38,0.00484,0.00972,0.00526,0.00976,1,0.011915,0.0005249999999999,0.2130238676742882
0.4,0.222648244,0.01273,0.00097,0.38,0.00463,0.0102,0.00506,0.0101,1,0.01273,0.00097,0.21770873069512808
0.4,0.227889356,0.013455,0.0004849999999999,0.38,0.00438,0.0108,0.00482,0.0106,1,0.013455,0.0004849999999999,0.22305546615289382
0.4,0.2325882839999999,0.01345,0.0009099999999999,0.38,0.00419,0.0115,0.00455,0.0111,1,0.01345,0.0009099999999999,0.2278511803076607
0.4,0.237548792,0.01394,0.0009,0.38,0.00392,0.0122,0.00436,0.0117,1,0.01394,0.0009,0.2329160056598971
0.4,0.242347596,0.015075,0.0009549999999999,0.38,0.00373,0.0131,0.0042,0.0124,1,0.015075,0.0009549999999999,0.23781782132147877
0.4,0.2477979719999999,0.01596,0.0008499999999999,0.38,0.00352,0.0141,0.00393,0.0133,1,0.01596,0.0008499999999999,0.24338769444262437
0.4,0.252744212,0.016935,0.0009849999999999,0.38,0.00335,0.0151,0.00377,0.0142,1,0.016935,0.0009849999999999,0.24844467884109417
0.4,0.258056664,0.0174399999999999,0.0008199999999999,0.38,0.00317,0.0163,0.00359,0.0153,1,0.0174399999999999,0.0008199999999999,0.2538785123554665
0.4,0.262955344,0.017795,0.000925,0.38,0.00302,0.0175,0.00345,0.0163,1,0.017795,0.000925,0.25889135728225793
0.4,0.2679538999999999,0.01938,0.0011599999999999,0.38,0.00284,0.0187,0.00327,0.0175,1,0.01938,0.0011599999999999,0.2640086187567189
0.4,0.272862092,0.021445,0.001275,0.38,0.00271,0.02,0.00314,0.0187,1,0.021445,0.001275,0.26903554526760676
0.4,0.278307712,0.022255,0.001485,0.38,0.00257,0.0214,0.003,0.02,1,0.022255,0.001485,0.27461542279614753
0.4,0.28324444,0.023565,0.0016749999999999,0.38,0.00245,0.0227,0.00289,0.0213,1,0.023565,0.0016749999999999,0.27967615465337775
