qv,nu,RT,RTerr,qvcenter,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,bc_qv_nu,RTbc,RTerr_bc,Ex
0.55,0.2274125,0.015959,0.0009039999999999,0.57,0.00589,0.0159,0.00604,0.0148,1,0.015959,0.0009039999999999,0.21619477076204374
0.55,0.231839,0.015241,0.0009169999999999,0.57,0.00574,0.0153,0.00586,0.0143,1,0.015241,0.0009169999999999,0.22071220280555554
0.55,0.237165,0.015965,0.000851,0.57,0.00558,0.0147,0.00563,0.0136,1,0.015965,0.000851,0.22614993635824832
0.55,0.2424015,0.0142785,0.0008384999999999,0.57,0.00539,0.0141,0.00541,0.0131,1,0.0142785,0.0008384999999999,0.2314987663804907
0.55,0.2471695,0.0136655,0.0010344999999999,0.57,0.00523,0.0135,0.00522,0.0126,1,0.0136655,0.0010344999999999,0.2363711801632783
0.55,0.25182,0.01397,0.000786,0.57,0.00506,0.0131,0.00511,0.0123,1,0.01397,0.000786,0.24112548006799067
0.55,0.257526,0.013685,0.0008119999999999,0.57,0.00492,0.0126,0.00488,0.012,1,0.013685,0.0008119999999999,0.24696148222741096
0.55,0.2627355,0.012784,0.000825,0.57,0.00474,0.0123,0.0047,0.0118,1,0.012784,0.000825,0.25229221600287394
0.55,0.2676535,0.0128265,0.0008904999999999,0.57,0.00458,0.012,0.00454,0.0117,1,0.0128265,0.0008904999999999,0.2573268939909756
0.55,0.2724045,0.0126985,0.0008644999999999,0.57,0.00444,0.0118,0.00447,0.0117,1,0.0126985,0.0008644999999999,0.2621926647709899
0.55,0.2773949999999999,0.0131335,0.0008774999999999,0.57,0.0043,0.0117,0.00432,0.0118,1,0.0131335,0.0008774999999999,0.2673058957785381
0.55,0.2826625,0.0130455,0.0008384999999999,0.57,0.00422,0.0118,0.00417,0.012,1,0.0130455,0.0008384999999999,0.27270535600761536
0.55,0.287478,0.013572,0.0007859999999999,0.57,0.0041,0.0118,0.00414,0.0122,1,0.013572,0.0007859999999999,0.2776436647201646
0.55,0.292328,0.013077,0.0011789999999999,0.57,0.00399,0.012,0.00402,0.0126,1,0.013077,0.0011789999999999,0.28261945015136875
0.55,0.296954,0.0140755,0.0012315,0.57,0.00389,0.0122,0.00392,0.013,1,0.0140755,0.0012315,0.2873673869259259
0.55,0.30247,0.0142884999999999,0.0008644999999999,0.57,0.00386,0.0126,0.0038,0.0135,1,0.0142884999999999,0.0008644999999999,0.2930312856011809
0.55,0.3078025,0.014829,0.0012709999999999,0.57,0.00375,0.013,0.00378,0.0141,1,0.014829,0.0012709999999999,0.2985093518074007
0.55,0.3121899999999999,0.0152379999999999,0.0013359999999999,0.57,0.00369,0.0134,0.00372,0.0147,1,0.0152379999999999,0.0013359999999999,0.30301852907944166
0.55,0.3176145,0.015621,0.001271,0.57,0.0036,0.014,0.00363,0.0155,1,0.015621,0.001271,0.30859584597469364
0.55,0.3231255,0.0159785,0.0013885,0.57,0.0036,0.0147,0.00363,0.0163,1,0.0159785,0.0013885,0.3142647954352411
0.55,0.3277325,0.01754,0.001271,0.57,0.00355,0.0153,0.00357,0.0171,1,0.01754,0.001271,0.31900592062785155
0.55,0.3331429999999999,0.0183035,0.0012444999999999,0.57,0.00348,0.0161,0.00351,0.018,1,0.0183035,0.0012444999999999,0.3245763627862318
0.55,0.3380355,0.019079,0.0016509999999999,0.57,0.00353,0.0169,0.00354,0.0189,1,0.019079,0.0016509999999999,0.32961574688049067
0.55,0.3434405,0.0200255,0.0012315,0.57,0.00346,0.0178,0.00348,0.0199,1,0.0200255,0.0012315,0.3351855070245236
0.55,0.3484939999999999,0.0211425,0.0011135,0.57,0.00343,0.0186,0.00351,0.0208,1,0.0211425,0.0011135,0.3403954165340847
0.55,0.3535575,0.0219705,0.0012835,0.57,0.00347,0.0195,0.00347,0.0218,1,0.0219705,0.0012835,0.3456179269907967
0.55,0.3583655,0.022694,0.0012709999999999,0.57,0.00344,0.0204,0.00344,0.0227,1,0.022694,0.0012709999999999,0.3505790369292472
0.55,0.3633444999999999,0.0234699999999999,0.00131,0.57,0.00342,0.0213,0.00347,0.0236,1,0.0234699999999999,0.00131,0.3557187720379427
