15.4	3.09	15.4	1.43
15.6	3.85	15.6	1.58
15.7	4.49	15.6	2.01
15.8	5.33	15.7	3.25
16	5.6	15.8	4.42
16	6.55	15.9	5.47
16	4.69	16	6.42
16.1	6.12	16.1	7.43
16.2	4.44	16.3	7.88
16.2	5.42	16.4	6.7
16.3	5.2	16.5	5.71
16.4	4.5	16.7	4.45
16.4	3.42	16.8	4.04
16.6	4.07	17	3.26
16.6	4.91	17.2	2.84
16.7	3.44	17.3	2.32
16.8	2.61	17.5	1.69
17	1.95	17.7	1.33
17	1.07	17.8	1.14
17.1	1.06	18	1.09
17.2	0.65	18.2	1.14
17.4	0.91	18.3	1.61
17.6	1.6	18.5	1.92
17.8	1.79	18.7	2.43
17.8	1.14	18.8	3.37
17.9	1.92	19	4.5
18	2.4	19.1	5.65
18.1	2.83	19.2	6.72
18.2	3.41	19.3	7.63
18.3	3.8	19.4	8.83
18.4	4.46	19.5	9.97
18.6	5.44	19.6	10.96
18.6	4.71	19.7	11.58
18.8	4.07	19.9	10.55
18.8	3.14	20	9.49
18.9	3.82	20	8.9
19	3.53	20	7.88
19	3.13	20.1	6.75
19.2	2.36	20.2	5.76
19.2	1.34	20.3	5.25
19.4	1.41	20.5	5.47
19.4	2.35	20.7	5.45
19.4	0.61	20.8	4.62
19.6	1.56	21	3.77
19.6	1.97	21.1	2.98
19.6	2.99	21.3	2.39
19.6	0.7	21.5	2.08
19.8	3.36	21.6	1.83
19.8	4.5	21.8	1.79
20	4.37	22	2.07
20	5.44	22.1	2.13
20.1	4.46	22.3	2.15
20.2	3.7	22.5	2.19
20.4	3.28	22.6	2.16
20.6	3.94	22.8	2.29
20.6	4.9	23	2.3
20.7	4.38	23.2	2.06
20.8	5.09	23.3	2
21	5.1	23.5	1.92
21.1	5.27	23.7	1.88
21.2	5.83	23.8	1.91
21.3	5.88	24	1.92
21.4	6.31	24.2	2.14
21.5	6.17	24.3	2.38
21.6	6.6	24.5	2.56
21.8	6.67	24.7	2.57
21.8	6.05	24.8	2.68
22	5.29	25	3.04
22	4.27	25.2	3.45
22.1	5.06	25.4	3.54
22.2	4.6	25.5	3.39
22.4	4.33	25.7	3.19
22.6	4.62	25.9	2.83
22.8	4.93	26	3.04
23	3.82	26.2	2.97
23.2	4.02	26.4	2.92
23.4	3.53	26.5	2.8
23.5	3.74	26.7	2.66
23.8	4.06	26.9	2.64
24	4.37	27	2.84
24.2	4.42	27.2	2.98
24.4	4.04	27.4	3.07
24.6	4.15	27.6	3.18
24.7	4.45	27.7	3.02
24.8	4.81	27.9	2.95
25	4.93	28.1	3.14
25.2	4.92	28.2	2.96
25.2	5.16	28.4	3.28
25.4	5.58	28.6	2.99
25.6	5.95	28.7	3.01
25.7	6.25	28.9	3.05
25.8	6.13	29.1	3.1
26	5.32	29.2	3.3
26.2	5.56	29.4	3.12
26.4	5.55	29.6	3.21
26.5	5.95	29.8	3.01
26.6	6.49	29.9	3.09
26.7	6.44	30.1	3.27
26.8	6.24	30.3	3.27
27	6.05	30.4	3.71
27.2	5.93	30.6	3.57
27.4	5.77	30.8	3.46
27.6	5.33	30.9	3.09
27.8	5.57	31.1	2.57
27.9	5.37	31.3	2.54
28.1	5.62	31.4	2.82
28.2	5.83	31.6	3.14
28.4	5.48	31.8	3.7
28.6	5.96	32	3.72
28.8	6.2	32.1	3.51
28.9	6.37	32.3	3.33
29	6.58	32.5	3.09
29.2	6.6	32.6	3.07
29.4	6.84	32.8	3.3
29.6	6.36	33	3.5
29.8	6.3	33.1	3.75
30	5.83	33.3	4.09
30.1	5.85	33.5	4.13
30.2	5.61	33.6	4.52
30.4	5.06	33.9	4.6
30.6	5.26	34	4.82
30.7	5.41	34.2	4.26
30.8	5.76	34.4	3.75
31	6.49	34.5	3.72
31.1	7.04	34.7	3.88
31.2	6.94	34.9	4.2
31.4	6.31	35	4.39
31.6	6.19	35.2	4.27
31.7	5.67	35.4	4.32
31.8	4.51	35.6	4.02
31.8	5.04	35.7	3.7
32	5.64	35.9	3.55
32.2	5.41	36.1	3.69
32.3	5.93	36.2	4.18
32.4	6.13	36.4	3.97
32.5	6.17	36.6	3.95
32.6	6.29	36.7	3.83
32.8	6.46	36.9	3.87
33	6.26	37.1	4.08
33.2	5.54	37.2	4.21
33.3	5.18	37.4	4.31
33.4	5.03	37.6	4.34
33.6	4.51	37.8	4.3
33.8	4.58	38	4.22
34	4.67	38.1	4.37
34.2	5.27	38.3	4.67
34.2	6.03	38.5	5.07
34.3	5.85	38.6	5.39
34.4	6.11	38.8	5.53
34.6	6.12	39	5.23
34.8	5.9	39.1	4.83
35	5.66	39.3	4.55
35.1	5.55	39.5	4.68
35.2	5.75	39.7	5.09
35.4	5.79	1 1
35.5	6.24	1 1	
35.7	6.39	1 1	
35.8	6.44	1 1	
36	6.3	1 1	
36.2	5.46	1 1	
36.3	6.01	1 1	
36.4	6.32	1 1	
36.6	6.34	1 1	
36.8	6.73	1 1	
37	6.15	1 1	
37.1	6.26	1 1	
37.3	6.47	1 1	
37.4	6.65	1 1	
37.6	6.88	1 1	
37.8	6.79	1 1	
38	6.68	1 1	
38	5.95	1 1	
38.2	6.51	1 1	
38.2	5.74	1 1	
38.4	5.82	1 1	
38.4	5.17	1 1	
38.5	5.63	1 1	
38.6	5.11	1 1	
38.8	4.44	1 1	
39	4.86    1 1		
39.1	5.48	1 1	
39.2	6.29	1 1	
39.4	6.72	1 1	
39.6	6.47	1 1	
39.6	5.7	1 1

