22.4	15.47	30.8	3.48
22.5	15.18	30.9	3.59
22.6	14.7	31.1	3.7
22.7	14.4	31.3	3.8
22.8	14.04	31.4	3.74
23	13.79	31.6	3.67
23.1	14	31.8	3.72
23.2	13.98	31.9	3.71
23.3	14.25	32.1	3.63
23.4	14.68	32.3	3.62
23.5	14.95	32.4	3.59
23.7	15.04	32.6	3.6
23.8	15.04	32.8	3.39
23.9	14.72	33	3.14
24	14.33	33.2	3.09
24	13.88	33.3	3.04
24.1	13.38	33.5	3.06
24.2	12.93	33.7	3.19
24.2	12.57	33.8	3.3
24.3	12.06	34	3.43
24.4	11.72	34.2	3.34
24.4	11.24	34.3	3.27
24.4	11.5	34.4	3.35
24.6	11.68	34.6	3.23
24.7	11.88	34.8	3.16
24.8	11.99	34.9	3.14
24.9	12.29	35.1	3.06
25	12.64	35.2	3.03
25.1	12.51	35.4	3.03
25.3	12.37	35.6	3
25.4	12.39	35.8	2.99
25.6	12.34	35.9	3
25.8	12.01	36.1	3.15
26	11.75	36.2	3.13
26.1	11.49	36.4	3.15
26.2	11.13	36.6	3.14
26.3	11.24	36.8	2.56
26.4	11.13	36.8	2.99
26.6	10.73	37	2.78
26.6	10.44	37.1	2.55
26.7	10.59	37.3	2.64
26.8	10.39	37.4	2.8
27	10.19	37.6	3.05
27.2	10.24	37.8	3.25
27.2	10.05	37.9	3.32
27.4	9.49	38	3.52
27.4	9.8	38.2	3.52
27.6	9.42	38.4	3.43
27.7	9.32	38.6	3.36
27.8	9.48	38.7	3.29
28	9.68	38.8	3.25
28.2	9.7	39	3.14
28.4	9.57	39.2	3.09
28.4	9.36	39.4	2.91
28.6	9.13	39.5	2.68
28.8	9.03	39.6	2.86
29	9.47	39.7	2.54
29	9.73	39.8	2.75
29.1	9.62	1 1	
29.2	9.59	1 1	
29.3	9.83	1 1 	
29.4	9.85	1 1	
29.6	9.8	1 1	
29.8	9.72	1 1	
30	9.43	1 1	
30.1	9.19	1 1	
30.2	8.88	1 1	
30.2	8.92	1 1	
30.3	9.04	1 1	
30.4	8.9	1 1	
30.6	8.64	1 1	
30.8	8.23	1 1	
30.8	8.49	1 1	
30.9	8.14	1 1	
31	8.11	1 1	
31.2	7.99	1 1	
31.2	8.17	1 1	
31.4	8.17	1 1	
31.6	8.04	1 1	
31.7	8.23	1 1	
31.8	8.13	1 1	
31.9	7.75	1 1	
32	7.41	1 1	
32	7.5	1 1	
32.1	7.25	1 1	
32.2	7.46	1 1	
32.4	7.36	1 1	
32.5	7.7	1 1	
32.6	8.08	1 1	
32.6	7.94	1 1	
32.7	8.15	1 1	
32.9	8.06	1 1	
33	7.92	1 1 	
33.2	8.05	1 1	
33.4	7.17	1 1	
33.4	7.49	1 1	
33.6	7.43	1 1	
33.7	7.24	1 1	
33.8	6.86	1 1	
33.9	7.25	1 1	
33.9	7.02	1 1	
34	7.24	1 1	
34.2	6.98	1 1	
34.2	7.23	1 1	
34.4	7.39	1 1	
34.6	7.59	1 1	
34.8	7.79	1 1	
34.9	7.76	1 1	
35	7.98	1 1	
35.1	7.97	1 1	
35.2	8.16	1 1	
35.4	7.83	1 1	
35.5	7.66	1 1	
35.5	7.31	1 1	
35.6	7.35	1 1	
35.8	7.19	1 1	
36	7.13	1 1	
36.1	7.43	1 1	
36.3	7.25	1 1	
36.3	7.41	1 1	
36.4	7.39	1 1	
36.6	7.68	1 1	
36.6	7.49	1 1	
36.8	7.57	1 1	
36.9	7.35	1 1	
36.9	7.54	1 1	
37	7.24	1 1	
37.1	7.37	1 1 	
37.2	7.11	1 1	
37.4	7.02	1 1 	
37.6	6.91	1 1	
37.6	7.05	1 1	
37.7	6.88	1 1	
37.8	7.04	1 1	
37.9	6.88	1 1	
38	7.07	1 1	
38.1	6.76	1 1	
38.2	7.05	1 1 	
38.4	7.11	1 1	
38.6	6.71	1 1	
38.8	6.5	1 1	
38.9	6.28	1 1	
38.9	6.47	1 1	
39.1	6.35	1 1	
39.2	6.54	1 1	
39.3	6.85	1 1	
39.4	6.58	1 1	
39.6	7.06	1 1	
39.6	6.69	1 1
