14	3.35	14	0.58
14	3.56	14.2	0.64
14.2	3.77	14.3	0.68
14.4	3.97	14.5	0.97
14.4	4.21	14.6	1.55
14.6	4.13	14.7	2.09
14.6	4.36	14.8	2.63
14.8	4.51	14.9	3.17
14.8	4.84	15	3.76
14.9	5.23	15.1	4.24
15	5.6	15.2	4.79
15	5.91	15.4	5.35
15.1	6.27	15.5	4.89
15.2	6.64	15.6	4.14
15.2	6.98	15.6	3.29
15.4	7.04	15.8	2.81
15.4	7.27	15.9	2.86
15.6	6.88	16.1	3.06
15.6	7.14	16.2	3.28
15.7	7.55	16.4	3.13
15.7	7.97	16.6	2.8
15.7	8.47	16.6	2.47
15.8	8.88	16.8	2.18
15.8	9.29	17	2.06
15.9	9.71	17.1	2.2
15.9	10.09	17.3	2.61
15.9	10.45	17.5	3.01
16	10.82	17.6	3.4
16	11.17	17.8	3.54
16	11.57	18	3.76
16.2	11.27	18.1	3.98
16.3	10.36	18.3	4.16
16.3	10.54	18.5	4.16
16.3	10.85	18.6	3.69
16.3	10	18.8	3.53
16.3	9.62	19	3.92
16.3	9.21	19.1	4.38
16.4	8.97	19.2	4.95
16.4	8.67	19.4	5.58
16.4	7.85	19.5	6.16
16.4	8.13	19.7	6.6
16.4	7.42	19.8	6.58
16.5	7.15	20	5.59
16.5	6.84	20	4.95
16.5	6.49	20.1	4.37
16.5	6.14	20.2	3.83
16.5	5.74	20.4	3.74
16.6	5.45	20.6	3.62
16.6	4.89	20.7	3.27
16.7	4.36	20.9	3.19
16.8	3.94	21.1	3.39
17	4.02	21.2	3.67
17.2	3.81	21.4	3.98
17.3	3.7	21.6	4.16
17.4	3.51	21.7	4.21
17.6	3.34	21.9	4.26
17.8	3.49	22.1	4.35
17.9	3.88	22.3	4.39
17.9	4.17	22.5	4.46
18	4.47	22.6	4.48
18.1	4.82	22.8	4.44
18.2	5.06	23	4.31
18.4	5.36	23.1	4.36
18.5	5.02	23.3	4.49
18.6	4.84	23.5	4.55
18.8	4.71	23.7	4.28
19	4.76	23.9	4.08
19.2	4.77	24	3.88
19.4	4.73	24.2	3.69
19.4	4.91	24.4	3.38
19.6	5.1	24.5	3.4
19.6	5.36	24.7	3.64
19.8	5.83	24.9	3.78
19.9	6.26	25	3.96
20	6.51	25.2	3.98
20.2	6.71	25.4	4.05
20.3	7.09	25.5	4.2
20.3	7.42	25.7	4.32
20.4	7.83	25.9	4.54
20.5	8.29	26	4.54
20.5	8.6	26.2	4.34
20.6	8.96	26.4	4.13
20.6	9.34	26.5	4.08
20.7	9.72	26.7	3.99
20.8	10.14	26.9	4.06
20.8	10.42	27	3.93
20.9	10.72	27.3	3.9
21	11.03	27.4	3.88
21	11.44	27.6	4
21.1	11.85	27.8	3.96
21.1	12.05	28	3.87
21.2	12.4	28.1	3.73
21.2	12.8	28.3	3.61
21.3	13.2	28.5	3.57
21.3	13.83	28.6	3.58
21.4	14.33	28.8	3.57
21.4	14.67	29	3.62
21.5	15.11	29.2	3.6
21.6	15.43	29.3	3.57
21.6	15.83	29.5	3.55
21.7	16.12	29.6	3.52
21.9	16.24	29.8	3.46
22	16.42	30	3.37
22	16.2	30.2	3.46
22.2	16.05	30.4	3.49
22.3	15.79	30.6	3.47
