14.4	7.28	14.4	-0.1
14.6	6.77	14.6	0.63
14.8	6.34	14.8	0.43
14.9	6.66	15	0.39
15	6.94	15.2	-0.06
15.2	7.47	15.4	0.03
15.4	8.07	15.6	1.31
15.5	8.47	15.7	1.75
15.7	9	15.7	2.69
15.8	9.87	15.8	3.45
16	10.42	15.9	4.62
16.2	9.47	15.9	5.63
16.3	8.47	16	6.64
16.4	7.24	16	7.62
16.5	6.19	16.1	8.54
16.6	5.17	16.3	9.07
16.7	4.53	16.4	8.39
16.8	3.98	16.5	7.33
17	3.92	16.5	6.2
17.2	3.92	16.6	4.97
17.4	3.81	16.7	4.46
17.5	3.62	16.9	3.79
17.7	3.53	17.1	3.04
17.8	3.44	17.2	2.78
18	3.77	17.4	2.71
18.2	4.28	17.6	2.88
18.3	4.98	17.7	3.07
18.5	5.82	17.9	3.3
18.6	6.69	18.1	3.47
18.8	6.66	18.2	4.05
19	5.97	18.4	4
19	5.22	18.5	4.03
19.1	4.17	18.7	4.09
19.2	3.56	18.9	4.2
19.4	3.5	19	5.02
19.6	4.13	19.1	5.86
19.8	5.26	19.2	6.64
19.9	5.98	19.2	7.57
20.1	6.02	19.3	8.41
20.2	5.72	19.4	9.45
20.4	6.03	19.5	10.49
20.6	6.26	19.7	10.85
20.7	7	19.8	9.99
20.8	7.78	19.9	8.95
21	8.6	19.9	8
21.1	9.73	20	7.14
21.3	10.47	20.1	6.29
21.4	11.3	20.2	5.49
21.6	12.36	20.3	4.9
21.8	12.57	20.5	4.81
22	11.98	20.6	5.12
22.1	10.92	20.8	4.68
22.3	10.34	20.9	4
22.4	9.57	21	3.09
22.6	8.57	21.2	2.19
22.8	7.59	21.4	1.98
22.9	6.81	21.5	1.88
23	6.14	21.7	1.87
23.2	6.43	21.9	2.08
23.4	7.01	22	2.32
23.5	7.7	22.2	2.54
23.7	8.35	22.4	2.56
23.8	9.02	22.5	2.75
24	9.31	22.7	3.05
24.2	9.25	22.8	3.15
24.3	8.95	23	3.21
24.5	8.63	23.1	2.59
24.6	8.36	23.3	2.17
24.8	8.62	23.5	1.93
25	9.18	23.6	1.93
25.1	9.45	23.8	2.16
25.3	9.85	23.9	2.27
25.4	9.93	24.1	2.24
25.6	9.7	24.3	2.22
25.8	10.07	24.4	2.21
26	9.98	24.6	2.45
26.1	9.8	24.8	2.65
26.3	9.88	24.9	2.86
26.4	10.12	25.1	3.06
26.6	10.67	25.3	3.29
26.8	11.13	25.4	3.35
27	10.93	25.6	3.39
27.2	10.31	25.8	3.14
27.3	10.29	25.9	2.96
27.4	10.28	26.1	3.02
27.6	10.4	26.2	3.2
27.8	10.04	26.4	3.31
27.9	9.55	26.6	3
28.1	9.49	26.7	2.82
28.2	9.47	26.9	2.76
28.4	9.68	27.1	2.84
28.6	10.09	27.2	3.03
28.8	9.72	27.4	3.33
28.9	9.58	27.5	3.32
29.1	9.32	27.7	3.44
29.2	8.9	27.9	3.52
29.4	8.83	28	3.55
29.6	8.7	28.2	3.72
29.8	8.86	28.4	3.86
29.9	8.53	28.6	3.75
30.1	8.14	28.7	3.9
30.3	7.91	28.9	4
30.4	7.92	29	4.15
30.6	8.3	29.2	4.37
30.8	8.52	29.4	4.2
30.9	8.56	29.5	4.16
31.1	8.47	29.7	4.14
31.2	8.55	29.9	4.08
31.4	8.83	30	4.23
31.6	9.38	30.2	4.35
31.8	9.24	30.4	4.38
31.9	9.32	30.5	4.42
32	9.2	30.7	4.42
32.2	8.67	30.8	4.37
32.4	8.96	31	4.57
32.6	8.62	31.2	4.47
32.7	8.44	31.4	4.57
32.9	8.26	31.5	4.4
33	8.07	31.7	4.29
33.2	8.36	31.9	4.35
33.4	8.56	32	4.32
33.6	8.58	32.2	4.47
33.8	8.25	32.4	4.45
33.9	8.21	32.6	4.48
34	8.15	32.8	4.49
34.2	7.99	33	4.6
34.4	8.16	33.1	4.71
34.6	8.02	33.3	4.81
34.8	7.93	33.5	5
35	7.85	33.6	5.09
35.1	8	33.8	5.15
35.3	8.05	34	5
35.4	8.06	34.2	5.12
35.6	8.07	34.3	5.22
35.8	7.66	34.5	5.26
36	7.99	34.6	5.24
36.2	7.84	34.8	5.24
36.4	8.01	35	5.2
36.6	7.92	35.2	5.28
36.7	7.67	35.3	5.35
36.9	7.75	35.5	5.31
37	7.82	35.7	5.17
37.2	8.03	35.8	5.36
37.4	7.8	36	5.3
37.6	8.38	36.2	5.38
37.7	8.16	36.4	5.33
37.9	8.77	36.5	5.23
38	9.32	36.7	5.34
38.2	9.2	36.8	5.6
38.3	9.51	37	5.59
38.5	9.1	37.2	5.52
38.7	8.82	37.4	5.51
38.8	8.71	37.5	5.5
39	8.38	37.7	5.58
39.2	9.1	37.9	5.62
39.3	9.27	38	5.22
39.5	9.5	38.2	5.2
39.7	9.58	38.4	5.05
39.8	9.45	38.5	5.17
40	9.49	38.7	5.37
40.2	9.36	38.9	5.33
-20.0   0.0	39	5.61
-20.0   0.0	39.2	5.33
-20.0   0.0	39.4	5.29
-20.0   0.0	39.6	5.06
-20.0   0.0	39.7	5.11
-20.0   0.0	39.9	5.23
-20.0   0.0	40	5.23
-20.0   0.0	40.2	5.31
