0.030   0.01006 0.00058  0.0069  0.0007
0.040   0.01015 0.00061 0.01095 0.00075
0.050   0.01329 0.00074  0.01275 0.00075
0.060   0.01656 0.00087 0.0142  0.0009
0.070   0.01928 0.00103  0.016   0.001
0.080   0.02165 0.00122   0.0172  0.0012
0.090   0.02274 0.00122   0.01815 0.00115
0.100   0.02338 0.00135  0.01765 0.00135
0.110   0.02199 0.00125  0.01755 0.00125
0.120   0.02033 0.00119   0.0166  0.0012
0.130   0.01830 0.00109    0.01445 0.00115
0.140   0.01583 0.00099   0.0127  0.0011 
0.150   0.01365 0.00151    0.01055 0.00135 
0.160   0.01237 0.00145   0.0085  0.0012  
0.170   0.01082 0.00125   0.0074  0.0011
0.180   0.00909 0.00106    0.0068  0.001
0.190   0.00966 0.00112    0.00495 0.00095
0.200   0.01053 0.00103    0.0036  0.001   
0.210   0.01110 0.00109   0.0026  0.001
