1	0.0295   0.02
2       0.0325   0.0300
3	0.0325   0.03
4	0.0325   0.03
5	0.0325   0.0425
6	0.0225   0.0225
7	0.0325   0.025
8	0.025    0.025
9	0.025    0.025
10	0.025    0.0225
11	0.03    0.035
12      0.0075    0.0175
13	0.002   0.0175
14	0.0225   0.0175
15      0.025    0.025
16	0.04     0.04
17	0.04    0.07
18	0.04    0.08
19	0.04    0.08
20	0.04     0.05
21	0.02     0.025
22	0.03     0.05
23	0.03     0.06
24	0.03     0.06
25	0.025    0.03
26	0.05   0.05
27	0.015    0.03
28	0.0425   0.035
29	0.03     0.03
30	0.03    0.02
31	0.015    0.02
32	0.015    0.02
33	0.0015   0.03
34	0.035   0.03
35	0.035    0.03
36	0.035    0.03
37	0.035    0.03
38	0.05    0.05
39	0.035    0.03
40	0.035    0.03
41	0.035    0.03
42	0.035    0.03
43	0.035    0.03
44	0.035    0.03
45	0.035    0.05
46	0.035    0.03
47	0.035    0.03
48	0.035    0.03
49	0.035    0.03
50	0.035    0.03
51	0.035    0.03
52	0.035    0.03
53	0.035    0.03
54	0.035    0.03
55	0.035    0.03
56	0.035    0.03
57	0.035    0.03
58	0.035    0.03
59	0.035    0.03
60	0.035    0.03


