 ################ 1 Barreau:1983ht             1
##################### 2 O'Connell:1987ag           1
#  3 Sealock:1989nx             1
################## 4 Baran:1988tw               1
# 5 Bagdasaryan:1988hp         0
# 6 Dai - HallA:2019da            1
# 7 Arrington:1995hs           1
 8 Day:1993md                 1
 9 Arrington:1998psnoCC       0
10 Gaskell:2008               1
11 Whitney:1974hr             0
12 AlsamiJan05                  1
13 VaheJun07                  1
14 E139                       0
15 Fomin                      0
16 Yamaguchi73
17 Ryan84
18 Cyzyk63
19 Bounin63
20 Spanner
21 Mihovilovic:2024ymj
Bosted:1992fy                           set =           25
 Rock-pc                                 set =           26
 Tvaskis:2006                            set =           27
 GarinoBates:1992                        set =           28
 Day:1993md                              set =           29
 YaLIJan05:2005                          set =           30
 VaheJun07: 2007                         set =           31
 E139                                    set =           32
 MurphyHallA:2019                        set =           33
 Franz:1981cw                            set =           34
   Z   A     E        theta     Nu      CS           err        set
      6     12   0.1999 145.0000   0.0899 0.3100E+04 0.1700E+03   1
      6     12   0.1999 145.0000   0.0949 0.2820E+04 0.1600E+03   1
      6     12   0.1999 145.0000   0.0999 0.2480E+04 0.1500E+03   1
      6     12   0.2411  90.0000   0.0036 0.2100E+03 0.2000E+02   1
      6     12   0.2411  90.0000   0.0086 0.4570E+04 0.1600E+03   1
      6     12   0.2411  90.0000   0.0136 0.4830E+04 0.1300E+03   1
      6     12   0.2411  90.0000   0.0186 0.4020E+04 0.1400E+03   1
      6     12   0.2411  90.0000   0.0230 0.5860E+04 0.1900E+03   1
      6     12   0.2411  90.0000   0.0286 0.4980E+04 0.1800E+03   1
      6     12   0.2411  90.0000   0.0336 0.6010E+04 0.2000E+03   1
      6     12   0.2411  90.0000   0.0386 0.6790E+04 0.2200E+03   1
      6     12   0.2411  90.0000   0.0436 0.8100E+04 0.2900E+03   1
      6     12   0.2411  90.0000   0.0486 0.8690E+04 0.2900E+03   1
      6     12   0.2411  90.0000   0.0536 0.9400E+04 0.3100E+03   1
      6     12   0.2411  90.0000   0.0586 0.9920E+04 0.3300E+03   1
      6     12   0.2411  90.0000   0.0636 0.1033E+05 0.3500E+03   1
      6     12   0.2411  90.0000   0.0686 0.9950E+04 0.3600E+03   1
      6     12   0.2411  90.0000   0.0736 0.9970E+04 0.3600E+03   1
      6     12   0.2411  90.0000   0.0785 0.9330E+04 0.3600E+03   1
      6     12   0.2411  90.0000   0.0836 0.8480E+04 0.3500E+03   1
      6     12   0.2411  90.0000   0.0886 0.7560E+04 0.3300E+03   1
      6     12   0.2411  90.0000   0.0936 0.6660E+04 0.3200E+03   1
      6     12   0.2411  90.0000   0.0986 0.5880E+04 0.3100E+03   1
      6     12   0.2411  90.0000   0.1036 0.4910E+04 0.2900E+03   1
      6     12   0.2411  90.0000   0.1086 0.4320E+04 0.2800E+03   1
      6     12   0.2411  90.0000   0.1136 0.3560E+04 0.2700E+03   1
      6     12   0.2411  90.0000   0.1186 0.3130E+04 0.2600E+03   1
      6     12   0.2411  90.0000   0.1236 0.2630E+04 0.2600E+03   1
      6     12   0.2411  90.0000   0.1286 0.2450E+04 0.2800E+03   1
      6     12   0.2411  90.0000   0.1336 0.2070E+04 0.2800E+03   1
      6     12   0.2411  90.0000   0.1386 0.1990E+04 0.3100E+03   1
      6     12   0.2411 145.0000   0.0086 0.2700E+02 0.4000E+01   1
      6     12   0.2411 145.0000   0.0136 0.2900E+02 0.3000E+01   1
      6     12   0.2411 145.0000   0.0186 0.1500E+02 0.4000E+01   1
      6     12   0.2411 145.0000   0.0236 0.1860E+03 0.1400E+02   1
      6     12   0.2411 145.0000   0.0286 0.8160E+03 0.4700E+02   1
      6     12   0.2411 145.0000   0.0336 0.6520E+03 0.3000E+02   1
      6     12   0.2411 145.0000   0.0386 0.9080E+03 0.4000E+02   1
      6     12   0.2411 145.0000   0.0436 0.1070E+04 0.5300E+02   1
      6     12   0.2411 145.0000   0.0586 0.1280E+04 0.5800E+02   1
      6     12   0.2411 145.0000   0.0636 0.1913E+04 0.7000E+02   1
      6     12   0.2411 145.0000   0.0686 0.2051E+04 0.7500E+02   1
