A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.024471046,0.054,180.0,13575.5,1379.0343032380265,22
12,6,0.0291,0.0809,135.0,12800.0,1011.9767783806423,18
12,6,0.025033896,0.054,180.0,16222.0,1401.2489522899714,22
12,6,0.0297,0.0809,135.0,13170.0,1132.9868141068357,18
12,6,0.025415446,0.054,180.0,13572.0,1245.6260862427036,22
12,6,0.0302,0.0809,135.0,12130.0,1095.1299102472663,18
12,6,0.025927446,0.054,180.0,7890.5,1239.7532989159774,22
12,6,0.0307,0.0809,135.0,13040.0,1009.7689240768768,18
12,6,0.026408296,0.054,180.0,10990.0,1157.518501074866,22
12,6,0.0275,0.16,36.0,542100.0,123951.99845802704,1
12,6,0.026902846,0.054,180.0,9037.0,1348.447216302423,22
12,6,0.0316,0.0809,135.0,9985.0,1015.0789033213395,18
12,6,0.027443396,0.054,180.0,13634.5,1312.4366359560165,22
12,6,0.027922546,0.054,180.0,6107.0,1059.1795685384625,22
12,6,0.0327,0.0809,135.0,10200.0,988.0571845920233,18
12,6,0.028426646,0.054,180.0,7603.5,1307.310529068077,22
12,6,0.0325,0.2,36.0,455800.0,60382.307105996435,1
12,6,0.029038846,0.054,180.0,7984.5,1205.8366563181414,22
12,6,0.0336,0.0809,135.0,9385.0,1039.4650452405238,18
12,6,0.029380196,0.054,180.0,10875.5,1461.2438028643064,22
12,6,0.030380846,0.054,180.0,11115.5,1496.8886809249668,22
12,6,0.0348,0.0809,135.0,9095.0,1008.365122372557,18
12,6,0.031432546,0.054,180.0,9718.5,1489.0908784728656,22
12,6,0.0359,0.0809,135.0,10480.0,1076.6101059475434,18
12,6,0.032461046,0.054,180.0,9993.5,1285.9495645613385,22
12,6,0.03939,0.0888,135.0,12680.0,728.5846278713321,16
12,6,0.0377,0.0809,135.0,8020.0,937.8466399375933,18
12,6,0.0375,0.2,36.0,375600.0,54426.87468445466,1
12,6,0.03959,0.0888,135.0,12220.0,702.0725959156874,16
12,6,0.03979,0.0888,135.0,12000.0,689.173446975028,16
12,6,0.03999,0.0888,135.0,11580.0,665.2203545008119,16
12,6,0.04019,0.0888,135.0,11150.0,640.6057757969484,16
12,6,0.04039,0.0888,135.0,10860.0,623.8595034563954,16
12,6,0.04059,0.0888,135.0,10660.0,612.4574189179185,16
12,6,0.0396,0.0809,135.0,10460.0,1139.0914271970337,18
12,6,0.0399,0.0809,135.0,7225.0,1084.428651780843,18
12,6,0.0425,0.2,36.0,276200.0,48049.321036479516,1
12,6,0.0458,0.0809,135.0,6355.0,1119.52392536416,18
12,6,0.0475,0.2,36.0,200300.0,43292.29113416723,1
12,6,0.0532,0.098,135.0,1702.0,806.9372300472111,18
12,6,0.0508,0.0809,135.0,3285.0,1887.2885258571496,18
12,6,0.0581,0.098,135.0,1374.0,896.342875723594,18
12,6,0.0633,0.098,135.0,1432.0,896.4155003224685,18
12,6,0.0684,0.098,135.0,2448.0,957.5067431773424,18
12,6,0.0084,0.161,60.0,146800.0,19692.706566233264,1
12,6,0.0134,0.161,60.0,81090.0,11031.072950310734,1
12,6,0.0125,0.24,36.0,361300.0,51474.582577925124,1
12,6,0.0123,0.0809,135.0,3730.0,1513.681049480473,18
12,6,0.0127,0.0809,135.0,2345.0,1446.521420126238,18
12,6,0.01519,0.0888,135.0,3160.0,181.52817962549238,16
12,6,0.0132,0.0809,135.0,3255.0,1417.9918965793283,18
12,6,0.01529,0.0888,135.0,3214.0,184.63024345851082,16
12,6,0.01549,0.0888,135.0,4225.0,242.75129248452882,16
12,6,0.01559,0.0888,135.0,5787.0,332.48136070251724,16
12,6,0.01569,0.0888,135.0,7622.0,437.85056491932363,16
12,6,0.01579,0.0888,135.0,14220.0,816.7027365812554,16
12,6,0.0138,0.0809,135.0,5140.0,1357.8054643999778,18
12,6,0.01589,0.0888,135.0,17860.0,1026.065928643224,16
12,6,0.0171,0.1196,90.0,25810.0,4726.7139624304455,1
12,6,0.01501,0.25,35.0,131000.0,5401.268369683463,16
12,6,0.01609,0.0888,135.0,16940.0,973.3029949702246,16
12,6,0.01521,0.25,35.0,136000.0,5607.423651162677,16
12,6,0.01629,0.0888,135.0,14260.0,819.3487169444572,16
12,6,0.0144,0.0809,135.0,7185.0,1212.156912233679,18
12,6,0.01639,0.0888,135.0,12910.0,741.7971218543953,16
12,6,0.01541,0.25,35.0,147000.0,6060.96526971737,16
12,6,0.01551,0.25,35.0,162000.0,6679.431113280538,16
12,6,0.01659,0.0888,135.0,11210.0,643.8784357752539,16
12,6,0.01561,0.25,35.0,179000.0,7380.359069785181,16
12,6,0.0147,0.0809,135.0,8975.0,1251.0257794842253,18
12,6,0.01571,0.25,35.0,201000.0,8287.442307769039,16
12,6,0.01679,0.0888,135.0,12820.0,736.7140626070717,16
