Ex,RT,error,qv,Q2,nu
0.0134779,0.0006206527097775085,0.00056813608830281,0.1,0.01,0.013916544202784209
0.01398245,0.001743456319929545,0.0006659645686241251,0.1,0.01,0.014420455477894834
0.0144395,0.00481486782769076,0.000783752307861571,0.1,0.01,0.014876907301356823
0.014982549999999999,0.010035585054760971,0.0007443960226748344,0.1,0.01,0.015419222373473929
0.0154235,0.008957592673461003,0.0007443960226748344,0.1,0.01,0.015859556292459942
0.01594605,0.006165846283288791,0.0008619026455895179,0.1,0.01,0.016381353777438434
0.01643235,0.004390838488218957,0.0006856427112174932,0.1,0.01,0.016866931616471348
0.0169085,0.004965912394328954,0.0006072112571667835,0.1,0.01,0.01734235412209273
0.017466900000000004,0.00579812863564898,0.0007249989964042289,0.1,0.01,0.017899875240042107
0.017941299999999997,0.006246265868905084,0.0006856427112174934,0.1,0.01,0.018373506756551805
0.018477399999999998,0.007676263317452689,0.0006856427112174931,0.1,0.01,0.018908714212150457
0.018946849999999998,0.008124244013456022,0.0006465675423535195,0.1,0.01,0.019377361623568845
0.019408650000000003,0.008058189197179273,0.0008031493341321763,0.1,0.01,0.019838352976881524
0.0199373,0.0069204661046145845,0.0006662456849468876,0.1,0.01,0.020366053974123943
0.02046245,0.005541418820460237,0.0007249989964042292,0.1,0.01,0.020890236635057846
0.020977049999999997,0.0076807090477350164,0.0007443960226748352,0.1,0.01,0.02140386492959756
0.021389400000000003,0.008071466737571973,0.0007640741652682029,0.1,0.01,0.02181541930044517
0.02204505,0.011267619781469212,0.0005290609194388363,0.1,0.01,0.022469773085413536
0.022463999999999998,0.011764086897344676,0.0006662456849468872,0.1,0.01,0.022887874807068442
0.022907249999999997,0.011400104525000704,0.0006268893997601519,0.1,0.01,0.023330210336627744
0.0234089,0.011112908049508433,0.000724717880081467,0.1,0.01,0.023830804310517095
0.0239543,0.00966689796070768,0.0007446771389975972,0.1,0.01,0.024375030804852926
0.02451715,0.009151367427284146,0.0007443960226748344,0.1,0.01,0.024936642032749035
0.0248987,0.009201885939299088,0.0006662456849468878,0.1,0.01,0.0253173362714314
0.025410699999999998,0.007202708411043234,0.0006856427112174932,0.1,0.01,0.02582816760414275
0.025891550000000003,0.006957794925087693,0.0006268893997601511,0.1,0.01,0.026307898830699727
0.0263861,0.0077242418769721734,0.0007443960226748347,0.1,0.01,0.02680127675631816
0.026926650000000003,0.009016674170872308,0.0007053208538108612,0.1,0.01,0.027340520814171043
0.0274058,0.006853805095115093,0.0005875331145734155,0.1,0.01,0.027818491515915866
0.0279099,0.007274495672129025,0.0007249989964042291,0.1,0.01,0.028321328803668777
0.0285221,0.006713414678041714,0.0006659645686241253,0.1,0.01,0.028931964975964064
0.02886345,0.006403927972588021,0.0008031493341321761,0.1,0.01,0.029272428570656928
0.0298641,0.005990320639983776,0.0008228274767255446,0.1,0.01,0.0302704205243014
0.0309158,0.005363487926231094,0.0008228274767255443,0.1,0.01,0.031319231104090406
0.031944299999999995,0.005275649679893052,0.0007053208538108612,0.1,0.01,0.032344810522110023
