Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.24,36.0,0.0175,304100.0,41200.0,1
6,12,0.24,36.0,0.0225,497200.0,43530.0,1
6,12,0.24,36.0,0.0275,462100.0,39490.0,1
6,12,0.24,36.0,0.0325,361500.0,34100.0,1
6,12,0.24,36.0,0.0375,291200.0,30190.0,1
6,12,0.24,36.0,0.0425,260000.0,28030.0,1
6,12,0.24,36.0,0.0475,206600.0,25240.0,1
6,12,0.24,36.0,0.0525,197900.0,24360.0,1
6,12,0.24,36.0,0.0575,138300.0,19810.0,1
6,12,0.24,36.0,0.0625,102200.0,18420.0,1
6,12,0.24,60.0,0.0029,270700.0,7180.0,1
6,12,0.24,60.0,0.0079,106700.0,4120.0,1
6,12,0.24,60.0,0.0129,60580.0,1800.0,1
6,12,0.24,60.0,0.0179,33090.0,1320.0,1
6,12,0.24,60.0,0.0229,43270.0,1400.0,1
6,12,0.24,60.0,0.0279,45830.0,1370.0,1
6,12,0.24,60.0,0.0329,48900.0,1400.0,1
6,12,0.24,60.0,0.0379,47980.0,1400.0,1
6,12,0.24,60.0,0.0429,48650.0,1440.0,1
6,12,0.24,60.0,0.0479,46260.0,1420.0,1
6,12,0.24,60.0,0.0529,43750.0,1410.0,1
6,12,0.24,60.0,0.0579,39630.0,1390.0,1
6,12,0.24,60.0,0.0629,33680.0,1310.0,1
6,12,0.24,60.0,0.0679,29580.0,1250.0,1
6,12,0.24,60.0,0.0729,24830.0,1220.0,1
6,12,0.24,60.0,0.0779,19880.0,1160.0,1
6,12,0.24,60.0,0.0829,16970.0,1110.0,1
6,12,0.24,60.0,0.0879,14830.0,1110.0,1
6,12,0.24,60.0,0.0929,12020.0,1090.0,1
6,12,0.24,60.0,0.0979,10710.0,1100.0,1
6,12,0.24,60.0,0.1029,9650.0,1140.0,1
6,12,0.24,60.0,0.1079,7140.0,1120.0,1
6,12,0.2411,90.0,0.0036,210.0,20.0,1
6,12,0.2411,90.0,0.0086,4570.0,160.0,1
6,12,0.2411,90.0,0.0136,4830.0,130.0,1
6,12,0.2411,90.0,0.0186,4020.0,140.0,1
6,12,0.2411,90.0,0.023,5860.0,190.0,1
6,12,0.2411,90.0,0.0286,4980.0,180.0,1
6,12,0.2411,90.0,0.0336,6010.0,200.0,1
6,12,0.2411,90.0,0.0386,6790.0,220.0,1
6,12,0.2411,90.0,0.0436,8100.0,290.0,1
6,12,0.2411,90.0,0.0486,8690.0,290.0,1
6,12,0.2411,90.0,0.0536,9400.0,310.0,1
6,12,0.2411,90.0,0.0586,9920.0,330.0,1
6,12,0.2411,90.0,0.0636,10330.0,350.0,1
6,12,0.2411,90.0,0.0686,9950.0,360.0,1
6,12,0.2411,90.0,0.0736,9970.0,360.0,1
6,12,0.2411,90.0,0.0785,9330.0,360.0,1
6,12,0.2411,90.0,0.0836,8480.0,350.0,1
6,12,0.2411,90.0,0.0886,7560.0,330.0,1
6,12,0.2411,90.0,0.0936,6660.0,320.0,1
6,12,0.2411,90.0,0.0986,5880.0,310.0,1
6,12,0.2411,90.0,0.1036,4910.0,290.0,1
6,12,0.2411,90.0,0.1086,4320.0,280.0,1
6,12,0.2411,90.0,0.1136,3560.0,270.0,1
6,12,0.2411,90.0,0.1186,3130.0,260.0,1
6,12,0.2411,90.0,0.1236,2630.0,260.0,1
6,12,0.2411,90.0,0.1286,2450.0,280.0,1
6,12,0.2411,90.0,0.1336,2070.0,280.0,1
6,12,0.2411,90.0,0.1386,1990.0,310.0,1
6,12,0.2411,145.0,0.0086,27.0,4.0,1
6,12,0.2411,145.0,0.0136,29.0,3.0,1
6,12,0.2411,145.0,0.0186,15.0,4.0,1
6,12,0.2411,145.0,0.0236,186.0,14.0,1
6,12,0.2411,145.0,0.0286,816.0,47.0,1
6,12,0.2411,145.0,0.0336,652.0,30.0,1
6,12,0.2411,145.0,0.0386,908.0,40.0,1
6,12,0.2411,145.0,0.0436,1070.0,53.0,1
6,12,0.2411,145.0,0.0586,1280.0,58.0,1
6,12,0.2411,145.0,0.0636,1913.0,70.0,1
6,12,0.2411,145.0,0.0686,2051.0,75.0,1
6,12,0.2411,145.0,0.0736,2182.0,81.0,1
6,12,0.2411,145.0,0.078,2410.0,90.0,1
6,12,0.2411,145.0,0.0836,2630.0,102.0,1
6,12,0.2411,145.0,0.0886,2657.0,102.0,1
6,12,0.2411,145.0,0.0936,2704.0,106.0,1
6,12,0.2411,145.0,0.0986,2613.0,114.0,1
6,12,0.2411,145.0,0.1036,2613.0,114.0,1
6,12,0.2411,145.0,0.1086,2400.0,110.0,1
6,12,0.2411,145.0,0.1136,2322.0,111.0,1
6,12,0.2411,145.0,0.1186,2063.0,101.0,1
6,12,0.2411,145.0,0.1236,1824.0,100.0,1
6,12,0.2411,145.0,0.1286,1582.0,100.0,1
6,12,0.2411,145.0,0.1336,1491.0,92.0,1
6,12,0.2411,145.0,0.1386,1253.0,87.0,1
6,12,0.28,60.0,0.0028,48190.0,1180.0,1
6,12,0.28,60.0,0.0078,56900.0,1650.0,1
6,12,0.28,60.0,0.0128,39620.0,810.0,1
6,12,0.28,60.0,0.0178,21640.0,530.0,1
6,12,0.28,60.0,0.0228,26140.0,580.0,1
6,12,0.28,60.0,0.0278,26300.0,570.0,1
6,12,0.28,60.0,0.0328,31910.0,650.0,1
6,12,0.28,60.0,0.0378,34420.0,710.0,1
6,12,0.28,60.0,0.0428,36160.0,740.0,1
6,12,0.28,60.0,0.0478,38100.0,790.0,1
6,12,0.28,60.0,0.0528,38150.0,810.0,1
6,12,0.28,60.0,0.0578,36760.0,810.0,1
6,12,0.28,60.0,0.0628,34670.0,800.0,1
6,12,0.28,60.0,0.0678,31680.0,780.0,1
6,12,0.28,60.0,0.0728,28410.0,740.0,1
6,12,0.28,60.0,0.0778,24830.0,700.0,1
6,12,0.28,60.0,0.0828,21360.0,660.0,1
6,12,0.28,60.0,0.0878,18460.0,630.0,1
6,12,0.28,60.0,0.0928,15560.0,590.0,1
6,12,0.28,60.0,0.0978,13460.0,570.0,1
6,12,0.28,60.0,0.1028,11320.0,550.0,1
6,12,0.28,60.0,0.1078,10140.0,550.0,1
6,12,0.28,60.0,0.1128,8640.0,540.0,1
6,12,0.28,60.0,0.1178,7660.0,540.0,1
6,12,0.28,60.0,0.1228,6490.0,540.0,1
6,12,0.28,60.0,0.1278,5840.0,550.0,1
6,12,0.28,60.0,0.1328,5370.0,570.0,1
6,12,0.28,60.0,0.1378,4930.0,600.0,1
6,12,0.2801,90.0,0.0076,140.0,20.0,1
6,12,0.2801,90.0,0.0126,1540.0,70.0,1
6,12,0.2801,90.0,0.0176,930.0,60.0,1
6,12,0.2801,90.0,0.0226,1910.0,70.0,1
6,12,0.2801,90.0,0.0276,3320.0,110.0,1
6,12,0.2801,90.0,0.0326,2840.0,100.0,1
6,12,0.2801,90.0,0.0376,3580.0,140.0,1
6,12,0.2801,90.0,0.0426,3960.0,130.0,1
6,12,0.2801,90.0,0.0476,4600.0,140.0,1
6,12,0.2801,90.0,0.0526,5220.0,150.0,1
6,12,0.2801,90.0,0.0576,5690.0,170.0,1
6,12,0.2801,90.0,0.0622,6180.0,190.0,1
6,12,0.2801,90.0,0.0676,6630.0,210.0,1
6,12,0.2801,90.0,0.0725,6810.0,210.0,1
6,12,0.2801,90.0,0.0776,7150.0,230.0,1
6,12,0.2801,90.0,0.0826,7210.0,250.0,1
6,12,0.2801,90.0,0.0876,6950.0,240.0,1
6,12,0.2801,90.0,0.0926,6680.0,230.0,1
6,12,0.2801,90.0,0.0976,6410.0,230.0,1
6,12,0.2801,90.0,0.1026,5950.0,240.0,1
6,12,0.2801,90.0,0.1076,5370.0,230.0,1
6,12,0.2801,90.0,0.1126,4620.0,220.0,1
6,12,0.2801,90.0,0.1176,4410.0,210.0,1
6,12,0.2801,90.0,0.1226,3810.0,210.0,1
6,12,0.2801,90.0,0.1276,3350.0,190.0,1
6,12,0.2801,90.0,0.1326,2920.0,180.0,1
6,12,0.2801,90.0,0.1376,2500.0,180.0,1
6,12,0.2801,90.0,0.1426,2350.0,180.0,1
6,12,0.2801,90.0,0.1476,2040.0,170.0,1
6,12,0.2801,90.0,0.1526,1850.0,180.0,1
6,12,0.2801,90.0,0.1576,1710.0,180.0,1
6,12,0.2801,90.0,0.1626,1530.0,180.0,1
6,12,0.2801,90.0,0.1676,1550.0,210.0,1
6,12,0.2801,90.0,0.1726,1510.0,220.0,1
6,12,0.2801,90.0,0.1776,1230.0,230.0,1
6,12,0.2801,145.0,0.0226,8.0,5.0,1
6,12,0.2801,145.0,0.0276,75.0,7.0,1
6,12,0.2801,145.0,0.0326,290.0,15.0,1
6,12,0.2801,145.0,0.0376,250.0,18.0,1
6,12,0.2801,145.0,0.0426,354.0,17.0,1
6,12,0.2801,145.0,0.0476,434.0,18.0,1
