Z,A,E0,ThetaDeg,nu,cross,error,dataSet,normalization,normError,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),Ex,Ep,Veff,Ffoc2,E0original,Q2,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Hcc,Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,W2bin_q2,W2center_q2,nucenter_w2_q2,epcenter_w2_q2,Exbin_q2,Excenter_q2,nucenter_ex_q2,epcenter_ex_q2,W2bin_qv,W2center_qv,nucenter_w2_qv,epcenter_w2_qv,Exbin_qv,Excenter_qv,nucenter_ex_qv,epcenter_ex_qv,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_q2_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,bc_q2_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,bc_qv_w2,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,bc_qv_ex
6,12,0.1227,90,0.0071,86760,9860,1,0.9919,0.0024,86057.244,9782.350346,1.570796327,0.5,0.5,1,0.005833876,0.1156,0.0031,1.052511297,0.1196,0.02836824,0.02841865,0.16857832,0.865311459,0.332938915,-0.000147563,-583190482.1,-66818990.31,0.001861394,179.501616,15447414.36,1755947.695,39.67191912,4.509610043,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0,0,0,0,0,0.00857,0.009732999,0.332525626,0,0,0,0,0,0.008995,0.010237807,0.332497128,0,0,33.39500588,5.48E-05,1,40.01012037,0.001224326,40.01012037,0.001224326,0.998758809,0,0,33.39500588,5.48E-05,1,45.75175716,0.001640003,33.17426627,5.50E-05,1.377375035
6,12,0.1227,145,0.0071,4800,340,1,0.9919,0.0024,4761.12,337.4426987,2.530727415,0.909576022,0.090423978,10.05901359,0.00481653,0.1156,0.0031,1.052511297,0.1196,0.051606142,0.051656552,0.227280777,0.842073557,0.047308884,-0.000144523,-32943582.62,-2352559.501,0.000101722,465.9902622,2218635.557,157245.0117,5.697881103,0.403835311,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0,0,0,0,0,0.00265,0.00515492,0.047331512,0,0,0,0,0,0.002695,0.005270247,0.047331155,0,0,240.7007559,9.95E-07,1,10.96824464,2.65E-08,10.96824464,2.65E-08,1.000478299,0,0,240.7007559,9.95E-07,1,12.78208454,1.99E-08,236.3787409,1.06E-06,0.054100048
6,12,0.1227,90,0.0121,26350,5890,1,0.9919,0.0024,26136.565,5842.633261,1.570796327,0.5,0.5,1,0.010833876,0.1106,0.0031,1.052511297,0.1196,0.02714124,0.02728765,0.165189739,0.875921189,0.332138879,-4.34E-05,-601562183.9,-135564916.9,0.001861394,180.3658524,4714143.826,1053811.529,12.10682437,2.706389869,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0,0,0,0,0,0.00857,0.009732999,0.332525626,0,0,0,0,0,0.008995,0.010237807,0.332497128,0,0,21.39258343,0.006926987,1,40.01012037,0.001224326,40.01012037,0.001224326,1.00116428,0,0,21.39258343,0.006926987,1,45.75175716,0.001640003,22.86611923,0.006683854,2.00223433
6,12,0.1227,145,0.0121,2390,210,1,0.9919,0.0024,2370.641,208.3779621,2.530727415,0.909576022,0.090423978,10.05901359,0.00981653,0.1106,0.0031,1.052511297,0.1196,0.049374042,0.049520452,0.222531913,0.853688387,0.047219517,-0.000100666,-23549550.55,-2086104.819,0.000101722,466.9597792,1106993.998,97304.12718,2.842972637,0.249895638,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0,0,0,0,1,0.00991,0.01241492,0.047229074,0,0,0,0,0,0.01004,0.01191346,0.047200532,0,0,97.11357082,0.002080804,1,101.1126772,0.001895532,101.1126772,0.001895532,1.000202298,0,0,97.11357082,0.002080804,1,82.20189791,0.002652528,99.10429542,0.001965458,0.829224614
6,12,0.1227,90,0.0171,25810,4670,1,0.9919,0.0024,25600.939,4632.587156,1.570796327,0.5,0.5,1,0.015833876,0.1056,0.0031,1.052511297,0.1196,0.02591424,0.02620665,0.161884681,0.886530919,0.330844554,6.04E-05,424043137.6,77351907,0.001861394,181.7739962,4653584.99,842083.8803,11.95129767,2.162632711,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0,0,0,0,9,0.015805,0.016967999,0.330890572,0,0,0,0,9,0.015835,0.017069462,0.331003584,0,0,31.93215909,12.98410726,1,32.15510659,13.48246226,32.15510659,13.48246226,1.0000036,0,0,31.93215909,12.98410726,1,32.77693936,13.76790597,32.12594986,13.37454967,1.023832883
6,12,0.1227,145,0.0171,3280,260,1,0.9919,0.0024,3253.432,258.0141152,2.530727415,0.909576022,0.090423978,10.05901359,0.01481653,0.1056,0.0031,1.052511297,0.1196,0.047141943,0.047434353,0.21779429,0.865303216,0.047074742,-5.68E-05,-57264976.24,-4576365.457,0.000101722,468.5382447,1524357.318,120889.4806,3.914841593,0.310467343,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0,0,0,0,4,0.014735,0.01723992,0.047114692,0,0,0,0,2,0.0149,0.016767233,0.04705103,0,0,24.9144464,5.812048172,1,19.58733627,2.696723132,19.58733627,2.696723132,0.999813616,0,0,24.9144464,5.812048172,1,24.60895312,6.455950602,22.55920054,4.395082646,1.346594106
6,12,0.1227,90,0.0221,40060,4770,1,0.9919,0.0024,39735.514,4732.33975,1.570796327,0.5,0.5,1,0.020833876,0.1006,0.0031,1.052511297,0.1196,0.02468724,0.02517565,0.158668365,0.897140649,0.328994141,0.000163658,242795922.4,29146132.34,0.001861394,183.8087457,7303734.989,869845.4337,18.75739052,2.233929697,"[0.158,0.186]",0.167,"[0.015,0.025]",0.02,0,0,0,0,25,0.02082,0.021714614,0.328175245,0,0,0,0,28,0.020815,0.022040765,0.329439863,0,0,35.63467216,12.2373252,1,35.92358335,11.36413783,35.92358335,11.36413783,0.999553204,0,0,35.63467216,12.2373252,1,34.2208377,13.13838562,34.65735559,12.58102765,1.007988187
6,12,0.1227,145,0.0221,7220,410,1,0.9919,0.0024,7161.518,407.047993,2.530727415,0.909576022,0.090423978,10.05901359,0.01981653,0.1006,0.0031,1.052511297,0.1196,0.044909843,0.045398253,0.213068658,0.876918046,0.046867345,-1.30E-05,-552003735.3,-31602452.37,0.000101722,470.8164818,3371760.709,191644.904,8.65932738,0.492180824,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0,0,0,0,0,0.014275,0.016064229,0.047063655,0,0,0,0,17,0.01947,0.021329458,0.046864308,0,0,27.48005625,21.32109388,1,17.28466071,2.708401286,17.28466071,2.708401286,0.998807884,0,0,27.48005625,21.32109388,1,24.60707879,22.70238623,25.95368116,23.25139493,0.973790676
6,12,0.1628,90,0.0022,122300,5450,1,0.9919,0.0024,121309.37,5413.817717,1.570796327,0.5,0.5,1,-4.95E-05,0.1606,0.0031,1.039199595,0.1597,0.05229136,0.0522962,0.228683624,0.832193264,0.333312766,-0.00026849,-451820314.2,-20298685.19,0.001043977,319.3313182,38737881.03,1728801.548,99.48629894,4.439893537,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0,0,0,0,0,0.00265,0.00515492,0.333227917,0,0,0,0,0,0.002695,0.005270247,0.333226158,0,0,6.43E-05,7.14E-09,1,10.96824464,2.65E-08,10.96824464,2.65E-08,0.999745438,0,0,6.43E-05,7.14E-09,1,12.78208454,1.99E-08,6.88E-05,7.65E-09,185691.3379
6,12,0.1628,90,0.0072,45470,2170,1,0.9919,0.0024,45101.693,2155.187623,1.570796327,0.5,0.5,1,0.004950506,0.1556,0.0031,1.039199595,0.1597,0.05066336,0.0507152,0.225200355,0.843203994,0.333106105,-0.000207045,-217834738.9,-10480790.23,0.001043977,319.7275607,14420254.29,689072.8816,37.03397528,1.769671156,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0,0,0,0,0,0.00265,0.00515492,0.333227917,0,0,0,0,0,0.002695,0.005270247,0.333226158,0,0,213.578222,1.51E-06,1,10.96824464,2.65E-08,10.96824464,2.65E-08,1.000365686,0,0,213.578222,1.51E-06,1,12.78208454,1.99E-08,210.0283122,1.57E-06,0.060880797
