Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.2801,90,0.0576,5690,170,1
6,12,0.2801,90,0.0622,6180,190,1
6,12,0.2801,90,0.0676,6630,210,1
6,12,0.2801,90,0.0725,6810,210,1
6,12,0.2801,90,0.0776,7150,230,1
6,12,0.2801,90,0.0826,7210,250,1
6,12,0.2801,90,0.0876,6950,240,1
6,12,0.2801,90,0.0926,6680,230,1
6,12,0.2801,90,0.0976,6410,230,1
6,12,0.2801,90,0.1026,5950,240,1
6,12,0.2801,90,0.1076,5370,230,1
6,12,0.2801,90,0.1126,4620,220,1
6,12,0.2801,90,0.1176,4410,210,1
6,12,0.2801,90,0.1226,3810,210,1
6,12,0.2801,90,0.1276,3350,190,1
6,12,0.2801,90,0.1326,2920,180,1
6,12,0.2801,90,0.1376,2500,180,1
6,12,0.2801,90,0.1426,2350,180,1
6,12,0.2801,90,0.1476,2040,170,1
6,12,0.2801,90,0.1526,1850,180,1
6,12,0.2801,90,0.1576,1710,180,1
6,12,0.2801,90,0.1626,1530,180,1
6,12,0.2801,90,0.1676,1550,210,1
6,12,0.2801,90,0.1726,1510,220,1
6,12,0.2801,90,0.1776,1230,230,1
6,12,0.2801,145,0.0226,8,5,1
6,12,0.2801,145,0.0276,75,7,1
6,12,0.2801,145,0.0326,290,15,1
6,12,0.2801,145,0.0376,250,18,1
6,12,0.2801,145,0.0426,354,17,1
6,12,0.2801,145,0.0476,434,18,1
6,12,0.2801,145,0.0526,552,19,1
6,12,0.2801,145,0.0576,720,28,1
6,12,0.2801,145,0.0626,810,30,1
6,12,0.2801,145,0.0676,973,40,1
6,12,0.2801,145,0.0726,1042,37,1
6,12,0.2801,145,0.0776,1190,41,1
6,12,0.2801,145,0.0826,1322,53,1
6,12,0.2801,145,0.0876,1518,51,1
6,12,0.2801,145,0.0926,1584,54,1
6,12,0.2801,145,0.0976,1672,56,1
6,12,0.2801,145,0.1026,1811,65,1
6,12,0.2801,145,0.1076,1860,68,1
6,12,0.2801,145,0.1126,1892,71,1
6,12,0.2801,145,0.1276,1891,76,1
6,12,0.2801,145,0.1326,1753,77,1
6,12,0.2801,145,0.1376,1702,82,1
6,12,0.2801,145,0.1426,1550,81,1
6,12,0.2801,145,0.1476,1448,75,1
6,12,0.2801,145,0.1526,1303,76,1
6,12,0.2801,145,0.1576,1156,65,1
6,12,0.2801,145,0.1626,1048,62,1
6,12,0.2801,145,0.1676,897,61,1
6,12,0.2801,145,0.1726,922,61,1
6,12,0.2801,145,0.1776,863,62,1
6,12,0.3201,90,0.0082,230,20,1
6,12,0.3201,90,0.0132,220,10,1
6,12,0.3201,90,0.0182,330,30,1
6,12,0.3201,90,0.0232,600,30,1
6,12,0.3201,90,0.0282,1520,60,1
6,12,0.3201,90,0.0332,1230,50,1
6,12,0.3201,90,0.0382,1630,60,1
6,12,0.3201,90,0.0432,1950,70,1
6,12,0.3201,90,0.0482,2260,90,1
6,12,0.3201,90,0.0532,2730,100,1
6,12,0.3201,90,0.0582,3100,120,1
6,12,0.3201,90,0.0632,3550,130,1
6,12,0.3201,90,0.0682,3820,140,1
6,12,0.3201,90,0.0732,4190,160,1
6,12,0.3201,90,0.0782,4480,170,1
6,12,0.3201,90,0.0832,4790,190,1
6,12,0.3201,90,0.0882,4970,200,1
6,12,0.3201,90,0.0932,5210,210,1
6,12,0.3201,90,0.0982,5330,220,1
6,12,0.3201,90,0.1032,5230,220,1
6,12,0.3201,90,0.1082,5240,220,1
6,12,0.3201,90,0.1132,5030,220,1
6,12,0.3201,90,0.1182,4750,210,1
6,12,0.3201,90,0.1232,4410,210,1
6,12,0.3201,90,0.1282,4130,200,1
6,12,0.3201,90,0.1332,3760,190,1
6,12,0.3201,90,0.1382,3380,180,1
6,12,0.3201,90,0.1432,3040,170,1
6,12,0.3201,90,0.1482,2720,160,1
6,12,0.3201,90,0.1532,2470,150,1
6,12,0.3201,90,0.1582,2190,150,1
6,12,0.3201,90,0.1632,2040,150,1
6,12,0.3201,90,0.1682,1800,140,1
6,12,0.3201,90,0.1732,1690,140,1
6,12,0.3201,90,0.1782,1620,140,1
6,12,0.3201,90,0.1832,1510,150,1
6,12,0.3201,90,0.1882,1500,160,1
6,12,0.3201,90,0.1932,1510,160,1
6,12,0.3201,90,0.1982,1450,170,1
6,12,0.3201,90,0.2032,1500,190,1
6,12,0.3201,90,0.2082,1520,210,1
6,12,0.3201,90,0.2132,1550,230,1
6,12,0.3201,90,0.2182,1660,260,1
6,12,0.3201,145,0.0301,6,2,1
6,12,0.3201,145,0.0351,52,3,1
6,12,0.3201,145,0.0401,51,4,1
6,12,0.3201,145,0.0451,81,7,1
6,12,0.3201,145,0.0501,110,7,1
6,12,0.3201,145,0.0551,150,10,1
6,12,0.3201,145,0.0601,210,12,1
6,12,0.3201,145,0.0651,260,12,1
6,12,0.3201,145,0.0701,323,14,1
6,12,0.3201,145,0.0751,427,20,1
6,12,0.3201,145,0.0801,456,20,1
6,12,0.3201,145,0.0851,560,21,1
6,12,0.3201,145,0.0901,641,21,1
6,12,0.3201,145,0.0951,724,27,1
6,12,0.3201,145,0.1001,851,35,1
6,12,0.3201,145,0.1051,924,36,1
6,12,0.3201,145,0.1101,1016,45,1
6,12,0.3201,145,0.1151,1074,41,1
6,12,0.3201,145,0.1201,1237,47,1
6,12,0.3201,145,0.1251,1230,55,1
6,12,0.3201,145,0.1301,1300,51,1
6,12,0.3201,145,0.1351,1305,46,1
6,12,0.3201,145,0.1401,1388,51,1
6,12,0.3201,145,0.1451,1395,52,1
6,12,0.3201,145,0.1501,1357,54,1
6,12,0.3201,145,0.1551,1324,53,1
6,12,0.3201,145,0.1601,1330,56,1
6,12,0.3201,145,0.1651,1197,52,1
6,12,0.3201,145,0.1701,1144,50,1
6,12,0.3201,145,0.1751,1025,49,1
6,12,0.3201,145,0.1801,973,49,1
6,12,0.3201,145,0.1851,865,46,1
6,12,0.3201,145,0.1901,880,47,1
6,12,0.3201,145,0.1951,785,45,1
6,12,0.3201,145,0.2001,697,39,1
6,12,0.3201,145,0.2051,688,43,1
6,12,0.3201,145,0.2101,750,48,1
6,12,0.3201,145,0.2151,637,44,1
6,12,0.3201,145,0.2201,664,47,1
6,12,0.3601,90,0.0101,160,20,1
6,12,0.3601,90,0.0151,50,10,1
6,12,0.3601,90,0.0201,60,10,1
6,12,0.3601,90,0.0251,100,10,1
6,12,0.3601,90,0.0301,590,20,1
6,12,0.3601,90,0.0351,490,30,1
6,12,0.3601,90,0.0401,640,20,1
6,12,0.3601,90,0.0451,850,30,1
6,12,0.3601,90,0.0501,1010,30,1
6,12,0.3601,90,0.0551,1210,40,1
6,12,0.3601,90,0.0601,1480,50,1
6,12,0.3601,90,0.0651,1680,50,1
6,12,0.3601,90,0.0701,1920,60,1
6,12,0.3601,90,0.0751,2200,60,1
6,12,0.3601,90,0.0801,2450,70,1
6,12,0.3601,90,0.0851,2770,120,1
6,12,0.3601,90,0.0901,2990,110,1
6,12,0.3601,90,0.0951,3120,130,1
6,12,0.3601,90,0.1001,3450,140,1
6,12,0.3601,90,0.1051,3450,130,1
6,12,0.3601,90,0.1101,3470,130,1
6,12,0.3601,90,0.1151,3640,140,1
6,12,0.3601,90,0.1201,3850,150,1
6,12,0.3601,90,0.1251,3720,150,1
6,12,0.3601,90,0.1301,3400,120,1
6,12,0.3601,90,0.1351,3460,130,1
6,12,0.3601,90,0.1401,3240,140,1
6,12,0.3601,90,0.1451,3110,140,1
6,12,0.3601,90,0.1501,2930,150,1
6,12,0.3601,90,0.1551,2700,130,1
6,12,0.3601,90,0.1601,2400,120,1
6,12,0.3601,90,0.1651,2270,120,1
6,12,0.3601,90,0.1701,2040,110,1
6,12,0.3601,90,0.1751,1770,90,1
6,12,0.3601,90,0.1801,1680,90,1
6,12,0.3601,90,0.1851,1590,90,1
6,12,0.3601,90,0.1901,1460,100,1
6,12,0.3601,90,0.1951,1320,90,1
6,12,0.3601,90,0.2001,1340,90,1
6,12,0.3601,90,0.2051,1270,90,1
6,12,0.3601,90,0.2101,1330,90,1
6,12,0.3601,90,0.2151,1320,100,1
6,12,0.3601,90,0.2201,1290,100,1
6,12,0.3601,90,0.2251,1330,110,1
6,12,0.3601,90,0.2301,1390,110,1
6,12,0.3601,90,0.2351,1480,130,1
6,12,0.3601,90,0.2401,1460,140,1
6,12,0.3601,90,0.2451,1520,160,1
6,12,0.3601,90,0.2501,1750,180,1
6,12,0.3601,90,0.2551,1580,190,1
6,12,0.3601,90,0.2601,1810,210,1
6,12,0.3601,145,0.0451,10,6,1
6,12,0.3601,145,0.0501,15,6,1
6,12,0.3601,145,0.0551,39,8,1
6,12,0.3601,145,0.0601,25,7,1
6,12,0.3601,145,0.0651,48,9,1
6,12,0.3601,145,0.0701,69,8,1
6,12,0.3601,145,0.0751,95,6,1
6,12,0.3601,145,0.0801,120,7,1
6,12,0.3601,145,0.0851,140,9,1
6,12,0.3601,145,0.0901,195,10,1
6,12,0.3601,145,0.0951,239,13,1
6,12,0.3601,145,0.1001,271,14,1
6,12,0.3601,145,0.1051,360,15,1
6,12,0.3601,145,0.1101,407,17,1
6,12,0.3601,145,0.1151,441,18,1
6,12,0.3601,145,0.1201,554,21,1
6,12,0.3601,145,0.1251,613,23,1
6,12,0.3601,145,0.1301,678,23,1
6,12,0.3601,145,0.1351,762,30,1
6,12,0.3601,145,0.1401,792,36,1
6,12,0.3601,145,0.1451,855,37,1
6,12,0.3601,145,0.1501,882,45,1
6,12,0.3601,145,0.1551,941,40,1
6,12,0.3601,145,0.1601,994,42,1
6,12,0.3601,145,0.1651,970,42,1
6,12,0.3601,145,0.1701,1004,44,1
6,12,0.3601,145,0.1751,1003,39,1
6,12,0.3601,145,0.1801,1005,43,1
6,12,0.3601,145,0.1851,948,43,1
6,12,0.3601,145,0.1901,916,46,1
6,12,0.3601,145,0.1951,874,43,1
6,12,0.3601,145,0.2001,852,42,1
6,12,0.3601,145,0.2051,740,40,1
6,12,0.3601,145,0.2101,769,40,1
6,12,0.3601,145,0.2151,645,40,1
6,12,0.3601,145,0.2201,656,41,1
6,12,0.3601,145,0.2251,606,40,1
6,12,0.3601,145,0.2301,595,38,1
6,12,0.3601,145,0.2351,592,40,1
6,12,0.3601,145,0.2401,571,35,1
6,12,0.3601,145,0.2451,551,40,1
6,12,0.3601,145,0.2501,625,44,1
6,12,0.3601,145,0.2551,639,44,1
6,12,0.3601,145,0.2601,697,48,1
6,12,0.3997,145,0.0597,7,1,1
6,12,0.3997,145,0.0647,8,1,1
6,12,0.3997,145,0.0697,10,1,1
6,12,0.3997,145,0.0747,18,3,1
6,12,0.3997,145,0.0797,22,2,1
6,12,0.3997,145,0.0847,34,3,1
6,12,0.3997,145,0.0897,43,3,1
6,12,0.3997,145,0.0947,60,4,1
6,12,0.3997,145,0.0997,66,4,1
6,12,0.3997,145,0.1047,86,5,1
6,12,0.3997,145,0.1097,113,5,1
6,12,0.3997,145,0.1147,130,5,1
6,12,0.3997,145,0.1197,163,6,1
6,12,0.3997,145,0.1247,186,9,1
6,12,0.3997,145,0.1297,216,10,1
6,12,0.3997,145,0.1347,247,11,1
6,12,0.3997,145,0.1397,300,12,1
6,12,0.3997,145,0.1447,354,13,1
6,12,0.3997,145,0.1497,405,15,1
6,12,0.3997,145,0.1547,426,15,1
6,12,0.3997,145,0.1597,480,17,1
6,12,0.3997,145,0.1647,509,18,1
6,12,0.3997,145,0.1697,563,19,1
6,12,0.3997,145,0.1747,625,26,1
6,12,0.3997,145,0.1797,700,34,1
6,12,0.3997,145,0.1847,728,34,1
6,12,0.3997,145,0.1897,717,41,1
6,12,0.3997,145,0.1947,710,34,1
6,12,0.3997,145,0.1997,745,35,1
6,12,0.3997,145,0.2047,795,37,1
6,12,0.3997,145,0.2097,751,37,1
6,12,0.3997,145,0.2147,706,30,1
6,12,0.3997,145,0.2197,690,33,1
6,12,0.3997,145,0.2247,647,33,1
6,12,0.3997,145,0.2297,625,35,1
6,12,0.3997,145,0.2347,580,32,1
6,12,0.3997,145,0.2397,610,33,1
6,12,0.3997,145,0.2447,528,31,1
6,12,0.3997,145,0.2497,543,30,1
6,12,0.3997,145,0.2547,503,30,1
6,12,0.3997,145,0.2597,481,30,1
6,12,0.3997,145,0.2647,522,31,1
6,12,0.3997,145,0.2697,506,30,1
6,12,0.3997,145,0.2747,518,31,1
6,12,0.3997,145,0.2797,546,31,1
6,12,0.3997,145,0.2847,558,36,1
6,12,0.3997,145,0.2897,626,41,1
6,12,0.3997,145,0.2947,644,42,1
6,12,0.3997,145,0.2997,685,45,1
6,12,0.4005,90,0.023,14,2,1
6,12,0.4005,90,0.028,50,10,1
6,12,0.4005,90,0.033,170,10,1
6,12,0.4005,90,0.038,170,10,1
6,12,0.4005,90,0.043,260,20,1
6,12,0.4005,90,0.048,310,20,1
6,12,0.4005,90,0.053,390,20,1
6,12,0.4005,90,0.058,520,20,1
6,12,0.4005,90,0.063,640,30,1
6,12,0.4005,90,0.068,750,30,1
6,12,0.4005,90,0.073,910,40,1
6,12,0.4005,90,0.078,1060,40,1
6,12,0.4005,90,0.083,1230,50,1
6,12,0.4005,90,0.093,1560,60,1
6,12,0.4005,90,0.103,1910,70,1
6,12,0.4005,90,0.108,2010,80,1
6,12,0.4005,90,0.113,2170,90,1
6,12,0.4005,90,0.118,2310,90,1
6,12,0.4005,90,0.123,2460,100,1
6,12,0.4005,90,0.128,2540,100,1
6,12,0.4005,90,0.133,2610,100,1
6,12,0.4005,90,0.138,2640,110,1
6,12,0.4005,90,0.143,2710,110,1
6,12,0.4005,90,0.148,2620,110,1
6,12,0.4005,90,0.153,2660,110,1
6,12,0.4005,90,0.158,2490,110,1
6,12,0.4005,90,0.163,2440,110,1
6,12,0.4005,90,0.168,2290,110,1
6,12,0.4005,90,0.173,2100,100,1
6,12,0.4005,90,0.178,2060,100,1
